Tari de destinatie , Ani, UM: Numar persoane, Valoare
Franta, Anul 1996, Numar persoane, 2181
Franta, Anul 1997, Numar persoane, 1143
Franta, Anul 1998, Numar persoane, 846
Franta, Anul 1999, Numar persoane, 696
Franta, Anul 2000, Numar persoane, 809
Franta, Anul 2001, Numar persoane, 463
Franta, Anul 2002, Numar persoane, 233
Franta, Anul 2003, Numar persoane, 338
Franta, Anul 2004, Numar persoane, 436
Franta, Anul 2005, Numar persoane, 343
Franta, Anul 2006, Numar persoane, 529
Franta, Anul 2007, Numar persoane, 372
Franta, Anul 2008, Numar persoane, 431
Franta, Anul 2009, Numar persoane, 576
Franta, Anul 2010, Numar persoane, 405
Franta, Anul 2011, Numar persoane, 663
Franta, Anul 2012, Numar persoane, 660
Franta, Anul 2013, Numar persoane, 663
Franta, Anul 2014, Numar persoane, 495
Franta, Anul 2015, Numar persoane, 628
Franta, Anul 2016, Numar persoane, 886
Franta, Anul 2017, Numar persoane, 890
Franta, Anul 2018, Numar persoane, 1075
Franta, Anul 2019, Numar persoane, 1030
Franta, Anul 2020, Numar persoane, 768
Franta, Anul 2021, Numar persoane, 1312
Franta, Anul 2022, Numar persoane, 1635
Germania, Anul 1990, Numar persoane, 66121
Germania, Anul 1991, Numar persoane, 20001
Germania, Anul 1992, Numar persoane, 13813
Germania, Anul 1993, Numar persoane, 6874
Germania, Anul 1994, Numar persoane, 6880
Germania, Anul 1995, Numar persoane, 9010
Germania, Anul 1996, Numar persoane, 6467
Germania, Anul 1997, Numar persoane, 5807
Germania, Anul 1998, Numar persoane, 3899
Germania, Anul 1999, Numar persoane, 2370
Germania, Anul 2000, Numar persoane, 2216
Germania, Anul 2001, Numar persoane, 854
Germania, Anul 2002, Numar persoane, 1305
Germania, Anul 2003, Numar persoane, 1938
Germania, Anul 2004, Numar persoane, 2707
Germania, Anul 2005, Numar persoane, 2196
Germania, Anul 2006, Numar persoane, 3110
Germania, Anul 2007, Numar persoane, 1902
Germania, Anul 2008, Numar persoane, 1788
Germania, Anul 2009, Numar persoane, 1938
Germania, Anul 2010, Numar persoane, 1399
Germania, Anul 2011, Numar persoane, 2014
Germania, Anul 2012, Numar persoane, 1907
Germania, Anul 2013, Numar persoane, 2283
Germania, Anul 2014, Numar persoane, 2008
Germania, Anul 2015, Numar persoane, 2780
Germania, Anul 2016, Numar persoane, 3959
Germania, Anul 2017, Numar persoane, 4088
Germania, Anul 2018, Numar persoane, 3961
Germania, Anul 2019, Numar persoane, 3671
Germania, Anul 2020, Numar persoane, 4257
Germania, Anul 2021, Numar persoane, 5121
Germania, Anul 2022, Numar persoane, 7642
Grecia, Anul 1990, Numar persoane, 576
Grecia, Anul 1991, Numar persoane, 354
Grecia, Anul 1992, Numar persoane, 143
Grecia, Anul 1993, Numar persoane, 80
Grecia, Anul 1994, Numar persoane, 87
Grecia, Anul 1995, Numar persoane, 193
Grecia, Anul 1996, Numar persoane, 274
Grecia, Anul 1997, Numar persoane, 232
Grecia, Anul 1998, Numar persoane, 316
Grecia, Anul 1999, Numar persoane, 214
Grecia, Anul 2000, Numar persoane, 328
Grecia, Anul 2001, Numar persoane, 105
Grecia, Anul 2002, Numar persoane, 60
Grecia, Anul 2003, Numar persoane, 64
Grecia, Anul 2004, Numar persoane, 97
Grecia, Anul 2005, Numar persoane, 114
Grecia, Anul 2006, Numar persoane, 134
Grecia, Anul 2007, Numar persoane, 72
Grecia, Anul 2008, Numar persoane, 85
Grecia, Anul 2009, Numar persoane, 124
Grecia, Anul 2010, Numar persoane, 133
Grecia, Anul 2011, Numar persoane, 160
Grecia, Anul 2012, Numar persoane, 162
Grecia, Anul 2013, Numar persoane, 110
Grecia, Anul 2014, Numar persoane, 60
Grecia, Anul 2015, Numar persoane, 129
Grecia, Anul 2016, Numar persoane, 169
Grecia, Anul 2017, Numar persoane, 177
Grecia, Anul 2018, Numar persoane, 184
Grecia, Anul 2019, Numar persoane, 134
Grecia, Anul 2020, Numar persoane, 111
Grecia, Anul 2021, Numar persoane, 203
Grecia, Anul 2022, Numar persoane, 228
Israel, Anul 1990, Numar persoane, 1227
Israel, Anul 1991, Numar persoane, 519
Israel, Anul 1992, Numar persoane, 463
Israel, Anul 1993, Numar persoane, 324
Israel, Anul 1994, Numar persoane, 417
Israel, Anul 1995, Numar persoane, 316
Israel, Anul 1996, Numar persoane, 418
Israel, Anul 1997, Numar persoane, 554
Israel, Anul 1998, Numar persoane, 563
Israel, Anul 1999, Numar persoane, 326
Israel, Anul 2000, Numar persoane, 433
Israel, Anul 2001, Numar persoane, 279
Israel, Anul 2002, Numar persoane, 106
Israel, Anul 2003, Numar persoane, 164
Israel, Anul 2004, Numar persoane, 85
Israel, Anul 2005, Numar persoane, 64
Israel, Anul 2006, Numar persoane, 128
Israel, Anul 2007, Numar persoane, 57
Israel, Anul 2008, Numar persoane, 50
Israel, Anul 2009, Numar persoane, 111
Israel, Anul 2010, Numar persoane, 62
Israel, Anul 2011, Numar persoane, 2857
Israel, Anul 2012, Numar persoane, 2292
Israel, Anul 2013, Numar persoane, 2506
Israel, Anul 2014, Numar persoane, 22
Israel, Anul 2015, Numar persoane, 43
Israel, Anul 2016, Numar persoane, 75
Israel, Anul 2017, Numar persoane, 66
Israel, Anul 2018, Numar persoane, 61
Israel, Anul 2019, Numar persoane, 81
Israel, Anul 2020, Numar persoane, 96
Israel, Anul 2021, Numar persoane, 143
Israel, Anul 2022, Numar persoane, 102
Italia, Anul 1990, Numar persoane, 1130
Italia, Anul 1991, Numar persoane, 1396
Italia, Anul 1992, Numar persoane, 528
Italia, Anul 1993, Numar persoane, 645
Italia, Anul 1994, Numar persoane, 1580
Italia, Anul 1995, Numar persoane, 2195
Italia, Anul 1996, Numar persoane, 1640
Italia, Anul 1997, Numar persoane, 1706
Italia, Anul 1998, Numar persoane, 1877
Italia, Anul 1999, Numar persoane, 1415
Italia, Anul 2000, Numar persoane, 2142
Italia, Anul 2001, Numar persoane, 1486
Italia, Anul 2002, Numar persoane, 1317
Italia, Anul 2003, Numar persoane, 1993
Italia, Anul 2004, Numar persoane, 2603
Italia, Anul 2005, Numar persoane, 2731
Italia, Anul 2006, Numar persoane, 3393
Italia, Anul 2007, Numar persoane, 1401
Italia, Anul 2008, Numar persoane, 1098
Italia, Anul 2009, Numar persoane, 984
Italia, Anul 2010, Numar persoane, 844
Italia, Anul 2011, Numar persoane, 1906
Italia, Anul 2012, Numar persoane, 2097
Italia, Anul 2013, Numar persoane, 2607
Italia, Anul 2014, Numar persoane, 1553
Italia, Anul 2015, Numar persoane, 2033
Italia, Anul 2016, Numar persoane, 3575
Italia, Anul 2017, Numar persoane, 3449
Italia, Anul 2018, Numar persoane, 4553
Italia, Anul 2019, Numar persoane, 4966
Italia, Anul 2020, Numar persoane, 3094
Italia, Anul 2021, Numar persoane, 4986
Italia, Anul 2022, Numar persoane, 8412
Slovacia, Anul 2001, Numar persoane, 20
Slovacia, Anul 2002, Numar persoane, 122
Slovacia, Anul 2003, Numar persoane, 130
Slovacia, Anul 2004, Numar persoane, 54
Slovacia, Anul 2005, Numar persoane, 19
Slovacia, Anul 2006, Numar persoane, 30
Slovacia, Anul 2007, Numar persoane, 11
Slovacia, Anul 2008, Numar persoane, 7
Slovacia, Anul 2009, Numar persoane, 6
Slovacia, Anul 2010, Numar persoane, 26
Slovacia, Anul 2011, Numar persoane, 3
Slovacia, Anul 2012, Numar persoane, 6
Slovacia, Anul 2013, Numar persoane, 12
Slovacia, Anul 2014, Numar persoane, 6
Slovacia, Anul 2015, Numar persoane, 5
Slovacia, Anul 2016, Numar persoane, 16
Slovacia, Anul 2017, Numar persoane, 14
Slovacia, Anul 2018, Numar persoane, 17
Slovacia, Anul 2019, Numar persoane, 20
Slovacia, Anul 2020, Numar persoane, 12
Slovacia, Anul 2021, Numar persoane, 11
Slovacia, Anul 2022, Numar persoane, 30
Spania, Anul 2001, Numar persoane, 616
Spania, Anul 2002, Numar persoane, 172
Spania, Anul 2003, Numar persoane, 186
Spania, Anul 2004, Numar persoane, 162
Spania, Anul 2005, Numar persoane, 139
Spania, Anul 2006, Numar persoane, 330
Spania, Anul 2007, Numar persoane, 138
Spania, Anul 2008, Numar persoane, 238
Spania, Anul 2009, Numar persoane, 547
Spania, Anul 2010, Numar persoane, 882
Spania, Anul 2011, Numar persoane, 3352
Spania, Anul 2012, Numar persoane, 4605
Spania, Anul 2013, Numar persoane, 4968
Spania, Anul 2014, Numar persoane, 3134
Spania, Anul 2015, Numar persoane, 3375
Spania, Anul 2016, Numar persoane, 5361
Spania, Anul 2017, Numar persoane, 5547
Spania, Anul 2018, Numar persoane, 6910
Spania, Anul 2019, Numar persoane, 5891
Spania, Anul 2020, Numar persoane, 4373
Spania, Anul 2021, Numar persoane, 5970
Spania, Anul 2022, Numar persoane, 7356
SUA, Anul 1990, Numar persoane, 4924
SUA, Anul 1991, Numar persoane, 5770
SUA, Anul 1992, Numar persoane, 2100
SUA, Anul 1993, Numar persoane, 1245
SUA, Anul 1994, Numar persoane, 1078
SUA, Anul 1995, Numar persoane, 2292
SUA, Anul 1996, Numar persoane, 3181
SUA, Anul 1997, Numar persoane, 2861
SUA, Anul 1998, Numar persoane, 2868
SUA, Anul 1999, Numar persoane, 2386
SUA, Anul 2000, Numar persoane, 2723
SUA, Anul 2001, Numar persoane, 1876
SUA, Anul 2002, Numar persoane, 1356
SUA, Anul 2003, Numar persoane, 2012
SUA, Anul 2004, Numar persoane, 2049
SUA, Anul 2005, Numar persoane, 1679
SUA, Anul 2006, Numar persoane, 1982
SUA, Anul 2007, Numar persoane, 1535
SUA, Anul 2008, Numar persoane, 1591
SUA, Anul 2009, Numar persoane, 1793
SUA, Anul 2010, Numar persoane, 1086
SUA, Anul 2011, Numar persoane, 1350
SUA, Anul 2012, Numar persoane, 1073
SUA, Anul 2013, Numar persoane, 819
SUA, Anul 2014, Numar persoane, 536
SUA, Anul 2015, Numar persoane, 802
SUA, Anul 2016, Numar persoane, 1281
SUA, Anul 2017, Numar persoane, 1165
SUA, Anul 2018, Numar persoane, 1243
SUA, Anul 2019, Numar persoane, 1227
SUA, Anul 2020, Numar persoane, 777
SUA, Anul 2021, Numar persoane, 1695
SUA, Anul 2022, Numar persoane, 1349
Suedia, Anul 1990, Numar persoane, 996
Suedia, Anul 1991, Numar persoane, 381
Suedia, Anul 1992, Numar persoane, 686
Suedia, Anul 1993, Numar persoane, 199
Suedia, Anul 1994, Numar persoane, 176
Suedia, Anul 1995, Numar persoane, 520
Suedia, Anul 1996, Numar persoane, 310
