Niveluri de educatie, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Iasi, Anul 2006, Numar persoane, 13468
Total, Total, Iasi, Anul 2007, Numar persoane, 13332
Total, Total, Iasi, Anul 2008, Numar persoane, 13061
Total, Total, Iasi, Anul 2009, Numar persoane, 12830
Total, Total, Iasi, Anul 2010, Numar persoane, 12294
Total, Total, Iasi, Anul 2011, Numar persoane, 11999
Total, Total, Iasi, Anul 2012, Numar persoane, 11780
Total, Total, Iasi, Anul 2013, Numar persoane, 11673
Total, Total, Iasi, Anul 2014, Numar persoane, 11705
Total, Total, Iasi, Anul 2015, Numar persoane, 11495
Total, Total, Iasi, Anul 2016, Numar persoane, 11331
Total, Total, Iasi, Anul 2017, Numar persoane, 11469
Total, Total, Iasi, Anul 2018, Numar persoane, 11526
Total, Total, Iasi, Anul 2019, Numar persoane, 11573
Total, Total, Iasi, Anul 2020, Numar persoane, 11630
Total, Total, Iasi, Anul 2021, Numar persoane, 11738
Total, Total, Neamt, Anul 1990, Numar persoane, 6998
Total, Total, Neamt, Anul 1991, Numar persoane, 6922
Total, Total, Neamt, Anul 1992, Numar persoane, 6957
Total, Total, Neamt, Anul 1993, Numar persoane, 7175
Total, Total, Neamt, Anul 1994, Numar persoane, 7441
Total, Total, Neamt, Anul 1995, Numar persoane, 7682
Total, Total, Neamt, Anul 1996, Numar persoane, 7697
Total, Total, Neamt, Anul 1997, Numar persoane, 7267
Total, Total, Neamt, Anul 1998, Numar persoane, 7277
Total, Total, Neamt, Anul 1999, Numar persoane, 7209
Total, Total, Neamt, Anul 2000, Numar persoane, 6943
Total, Total, Neamt, Anul 2001, Numar persoane, 6995
Total, Total, Neamt, Anul 2002, Numar persoane, 6437
Total, Total, Neamt, Anul 2003, Numar persoane, 6429
Total, Total, Neamt, Anul 2004, Numar persoane, 6293
Total, Total, Neamt, Anul 2005, Numar persoane, 6293
Total, Total, Neamt, Anul 2006, Numar persoane, 6081
Total, Total, Neamt, Anul 2007, Numar persoane, 5990
Total, Total, Neamt, Anul 2008, Numar persoane, 5866
Total, Total, Neamt, Anul 2009, Numar persoane, 5705
Total, Total, Neamt, Anul 2010, Numar persoane, 5366
Total, Total, Neamt, Anul 2011, Numar persoane, 5370
Total, Total, Neamt, Anul 2012, Numar persoane, 5314
Total, Total, Neamt, Anul 2013, Numar persoane, 5190
Total, Total, Neamt, Anul 2014, Numar persoane, 5205
Total, Total, Neamt, Anul 2015, Numar persoane, 4930
Total, Total, Neamt, Anul 2016, Numar persoane, 4857
Total, Total, Neamt, Anul 2017, Numar persoane, 4810
Total, Total, Neamt, Anul 2018, Numar persoane, 4681
Total, Total, Neamt, Anul 2019, Numar persoane, 4600
Total, Total, Neamt, Anul 2020, Numar persoane, 4640
Total, Total, Neamt, Anul 2021, Numar persoane, 4629
Total, Total, Suceava, Anul 1990, Numar persoane, 8317
Total, Total, Suceava, Anul 1991, Numar persoane, 8551
Total, Total, Suceava, Anul 1992, Numar persoane, 9255
Total, Total, Suceava, Anul 1993, Numar persoane, 8968
Total, Total, Suceava, Anul 1994, Numar persoane, 9365
Total, Total, Suceava, Anul 1995, Numar persoane, 9576
Total, Total, Suceava, Anul 1996, Numar persoane, 9919
Total, Total, Suceava, Anul 1997, Numar persoane, 10084
Total, Total, Suceava, Anul 1998, Numar persoane, 10131
Total, Total, Suceava, Anul 1999, Numar persoane, 9453
Total, Total, Suceava, Anul 2000, Numar persoane, 9240
Total, Total, Suceava, Anul 2001, Numar persoane, 9647
Total, Total, Suceava, Anul 2002, Numar persoane, 9257
Total, Total, Suceava, Anul 2003, Numar persoane, 9132
Total, Total, Suceava, Anul 2004, Numar persoane, 9304
Total, Total, Suceava, Anul 2005, Numar persoane, 9144
Total, Total, Suceava, Anul 2006, Numar persoane, 9057
Total, Total, Suceava, Anul 2007, Numar persoane, 8811
Total, Total, Suceava, Anul 2008, Numar persoane, 8842
Total, Total, Suceava, Anul 2009, Numar persoane, 8597
Total, Total, Suceava, Anul 2010, Numar persoane, 8191
Total, Total, Suceava, Anul 2011, Numar persoane, 8131
Total, Total, Suceava, Anul 2012, Numar persoane, 8139
Total, Total, Suceava, Anul 2013, Numar persoane, 8177
Total, Total, Suceava, Anul 2014, Numar persoane, 8174
Total, Total, Suceava, Anul 2015, Numar persoane, 8063
Total, Total, Suceava, Anul 2016, Numar persoane, 7985
Total, Total, Suceava, Anul 2017, Numar persoane, 8040
Total, Total, Suceava, Anul 2018, Numar persoane, 8033
Total, Total, Suceava, Anul 2019, Numar persoane, 7948
Total, Total, Suceava, Anul 2020, Numar persoane, 8019
Total, Total, Suceava, Anul 2021, Numar persoane, 8151
Total, Total, Vaslui, Anul 1990, Numar persoane, 5501
Total, Total, Vaslui, Anul 1991, Numar persoane, 5282
Total, Total, Vaslui, Anul 1992, Numar persoane, 5397
Total, Total, Vaslui, Anul 1993, Numar persoane, 5717
Total, Total, Vaslui, Anul 1994, Numar persoane, 5779
Total, Total, Vaslui, Anul 1995, Numar persoane, 5941
Total, Total, Vaslui, Anul 1996, Numar persoane, 6166
Total, Total, Vaslui, Anul 1997, Numar persoane, 6056
Total, Total, Vaslui, Anul 1998, Numar persoane, 6304
Total, Total, Vaslui, Anul 1999, Numar persoane, 6384
Total, Total, Vaslui, Anul 2000, Numar persoane, 5849
Total, Total, Vaslui, Anul 2001, Numar persoane, 5972
Total, Total, Vaslui, Anul 2002, Numar persoane, 5761
Total, Total, Vaslui, Anul 2003, Numar persoane, 5755
Total, Total, Vaslui, Anul 2004, Numar persoane, 5971
Total, Total, Vaslui, Anul 2005, Numar persoane, 5772
Total, Total, Vaslui, Anul 2006, Numar persoane, 5754
Total, Total, Vaslui, Anul 2007, Numar persoane, 5676
Total, Total, Vaslui, Anul 2008, Numar persoane, 5717
Total, Total, Vaslui, Anul 2009, Numar persoane, 5524
Total, Total, Vaslui, Anul 2010, Numar persoane, 5412
Total, Total, Vaslui, Anul 2011, Numar persoane, 5156
Total, Total, Vaslui, Anul 2012, Numar persoane, 5083
Total, Total, Vaslui, Anul 2013, Numar persoane, 4962
Total, Total, Vaslui, Anul 2014, Numar persoane, 4909
Total, Total, Vaslui, Anul 2015, Numar persoane, 4735
Total, Total, Vaslui, Anul 2016, Numar persoane, 4646
Total, Total, Vaslui, Anul 2017, Numar persoane, 4687
Total, Total, Vaslui, Anul 2018, Numar persoane, 4599
Total, Total, Vaslui, Anul 2019, Numar persoane, 4530
Total, Total, Vaslui, Anul 2020, Numar persoane, 4494
Total, Total, Vaslui, Anul 2021, Numar persoane, 4429
Total, Total, Braila, Anul 1990, Numar persoane, 4114
Total, Total, Braila, Anul 1991, Numar persoane, 4152
Total, Total, Braila, Anul 1992, Numar persoane, 4283
Total, Total, Braila, Anul 1993, Numar persoane, 4298
Total, Total, Braila, Anul 1994, Numar persoane, 4472
Total, Total, Braila, Anul 1995, Numar persoane, 4664
Total, Total, Braila, Anul 1996, Numar persoane, 4783
Total, Total, Braila, Anul 1997, Numar persoane, 4698
Total, Total, Braila, Anul 1998, Numar persoane, 4686
Total, Total, Braila, Anul 1999, Numar persoane, 4323
Total, Total, Braila, Anul 2000, Numar persoane, 4223
Total, Total, Braila, Anul 2001, Numar persoane, 4291
Total, Total, Braila, Anul 2002, Numar persoane, 4031
Total, Total, Braila, Anul 2003, Numar persoane, 4039
Total, Total, Braila, Anul 2004, Numar persoane, 4004
Total, Total, Braila, Anul 2005, Numar persoane, 3863
Total, Total, Braila, Anul 2006, Numar persoane, 3652
Total, Total, Braila, Anul 2007, Numar persoane, 3696
Total, Total, Braila, Anul 2008, Numar persoane, 3668
Total, Total, Braila, Anul 2009, Numar persoane, 3616
Total, Total, Braila, Anul 2010, Numar persoane, 3499
Total, Total, Braila, Anul 2011, Numar persoane, 3328
Total, Total, Braila, Anul 2012, Numar persoane, 3268
Total, Total, Braila, Anul 2013, Numar persoane, 3289
Total, Total, Braila, Anul 2014, Numar persoane, 3219
Total, Total, Braila, Anul 2015, Numar persoane, 3127
Total, Total, Braila, Anul 2016, Numar persoane, 3111
Total, Total, Braila, Anul 2017, Numar persoane, 3113
Total, Total, Braila, Anul 2018, Numar persoane, 2983
Total, Total, Braila, Anul 2019, Numar persoane, 2912
Total, Total, Braila, Anul 2020, Numar persoane, 2986
Total, Total, Braila, Anul 2021, Numar persoane, 3020
Total, Total, Buzau, Anul 1990, Numar persoane, 5682
Total, Total, Buzau, Anul 1991, Numar persoane, 5599
Total, Total, Buzau, Anul 1992, Numar persoane, 5799
Total, Total, Buzau, Anul 1993, Numar persoane, 5663
Total, Total, Buzau, Anul 1994, Numar persoane, 5957
Total, Total, Buzau, Anul 1995, Numar persoane, 6325
Total, Total, Buzau, Anul 1996, Numar persoane, 6440
Total, Total, Buzau, Anul 1997, Numar persoane, 6484
Total, Total, Buzau, Anul 1998, Numar persoane, 6629
Total, Total, Buzau, Anul 1999, Numar persoane, 6265
Total, Total, Buzau, Anul 2000, Numar persoane, 6014
Total, Total, Buzau, Anul 2001, Numar persoane, 6117
Total, Total, Buzau, Anul 2002, Numar persoane, 5590
Total, Total, Buzau, Anul 2003, Numar persoane, 5639
Total, Total, Buzau, Anul 2004, Numar persoane, 5742
Total, Total, Buzau, Anul 2005, Numar persoane, 5622
Total, Total, Buzau, Anul 2006, Numar persoane, 5553
Total, Total, Buzau, Anul 2007, Numar persoane, 5540
Total, Total, Buzau, Anul 2008, Numar persoane, 5450
Total, Total, Buzau, Anul 2009, Numar persoane, 5265
Total, Total, Buzau, Anul 2010, Numar persoane, 4872
Total, Total, Buzau, Anul 2011, Numar persoane, 4910
Total, Total, Buzau, Anul 2012, Numar persoane, 4854
Total, Total, Buzau, Anul 2013, Numar persoane, 4867
Total, Total, Buzau, Anul 2014, Numar persoane, 4702
Total, Total, Buzau, Anul 2015, Numar persoane, 4604
Total, Total, Buzau, Anul 2016, Numar persoane, 4590
Total, Total, Buzau, Anul 2017, Numar persoane, 4599
Total, Total, Buzau, Anul 2018, Numar persoane, 4418
Total, Total, Buzau, Anul 2019, Numar persoane, 4364
Total, Total, Buzau, Anul 2020, Numar persoane, 4357
Total, Total, Buzau, Anul 2021, Numar persoane, 4274
Total, Total, Constanta, Anul 1990, Numar persoane, 8311
Total, Total, Constanta, Anul 1991, Numar persoane, 8452
Total, Total, Constanta, Anul 1992, Numar persoane, 8345
Total, Total, Constanta, Anul 1993, Numar persoane, 9002
Total, Total, Constanta, Anul 1994, Numar persoane, 9131
Total, Total, Constanta, Anul 1995, Numar persoane, 9434
Total, Total, Constanta, Anul 1996, Numar persoane, 9607
Total, Total, Constanta, Anul 1997, Numar persoane, 9477
Total, Total, Constanta, Anul 1998, Numar persoane, 9657
Total, Total, Constanta, Anul 1999, Numar persoane, 9455
Total, Total, Constanta, Anul 2000, Numar persoane, 9359
Total, Total, Constanta, Anul 2001, Numar persoane, 9504
Total, Total, Constanta, Anul 2002, Numar persoane, 9119
Total, Total, Constanta, Anul 2003, Numar persoane, 9140
Total, Total, Constanta, Anul 2004, Numar persoane, 9128
Total, Total, Constanta, Anul 2005, Numar persoane, 8966
Total, Total, Constanta, Anul 2006, Numar persoane, 8923
Total, Total, Constanta, Anul 2007, Numar persoane, 8937
Total, Total, Constanta, Anul 2008, Numar persoane, 8973
Total, Total, Constanta, Anul 2009, Numar persoane, 8839
Total, Total, Constanta, Anul 2010, Numar persoane, 8323
Total, Total, Constanta, Anul 2011, Numar persoane, 8311
Total, Total, Constanta, Anul 2012, Numar persoane, 8284
Total, Total, Constanta, Anul 2013, Numar persoane, 8203
Total, Total, Constanta, Anul 2014, Numar persoane, 8067
Total, Total, Constanta, Anul 2015, Numar persoane, 7809
Total, Total, Constanta, Anul 2016, Numar persoane, 7758
Total, Total, Constanta, Anul 2017, Numar persoane, 7748
Total, Total, Constanta, Anul 2018, Numar persoane, 7650
Total, Total, Constanta, Anul 2019, Numar persoane, 7892
Total, Total, Constanta, Anul 2020, Numar persoane, 8030
Total, Total, Constanta, Anul 2021, Numar persoane, 8144
Total, Total, Galati, Anul 1990, Numar persoane, 7158
Total, Total, Galati, Anul 1991, Numar persoane, 6908
Total, Total, Galati, Anul 1992, Numar persoane, 7427
Total, Total, Galati, Anul 1993, Numar persoane, 7589
Total, Total, Galati, Anul 1994, Numar persoane, 7454
Total, Total, Galati, Anul 1995, Numar persoane, 8007
Total, Total, Galati, Anul 1996, Numar persoane, 8128
Total, Total, Galati, Anul 1997, Numar persoane, 8158
Total, Total, Galati, Anul 1998, Numar persoane, 8185
Total, Total, Galati, Anul 1999, Numar persoane, 7812
Total, Total, Galati, Anul 2000, Numar persoane, 7558
Total, Total, Galati, Anul 2001, Numar persoane, 7769
Total, Total, Galati, Anul 2002, Numar persoane, 7366
Total, Total, Galati, Anul 2003, Numar persoane, 7367
Total, Total, Galati, Anul 2004, Numar persoane, 7387
Total, Total, Galati, Anul 2005, Numar persoane, 7212
Total, Total, Galati, Anul 2006, Numar persoane, 7068
Total, Total, Galati, Anul 2007, Numar persoane, 7083
Total, Total, Galati, Anul 2008, Numar persoane, 6893
Total, Total, Galati, Anul 2009, Numar persoane, 6746
Total, Total, Galati, Anul 2010, Numar persoane, 6530
Total, Total, Galati, Anul 2011, Numar persoane, 6787
Total, Total, Galati, Anul 2012, Numar persoane, 6511
Total, Total, Galati, Anul 2013, Numar persoane, 6599
Total, Total, Galati, Anul 2014, Numar persoane, 6407
Total, Total, Galati, Anul 2015, Numar persoane, 6150
Total, Total, Galati, Anul 2016, Numar persoane, 6147
Total, Total, Galati, Anul 2017, Numar persoane, 6019
Total, Total, Galati, Anul 2018, Numar persoane, 5947
Total, Total, Galati, Anul 2019, Numar persoane, 5940
Total, Total, Galati, Anul 2020, Numar persoane, 5884
Total, Total, Galati, Anul 2021, Numar persoane, 6058
Total, Total, Tulcea, Anul 1990, Numar persoane, 2899
Total, Total, Tulcea, Anul 1991, Numar persoane, 2925
Total, Total, Tulcea, Anul 1992, Numar persoane, 3161
Total, Total, Tulcea, Anul 1993, Numar persoane, 3339
Total, Total, Tulcea, Anul 1994, Numar persoane, 3314
Total, Total, Tulcea, Anul 1995, Numar persoane, 3454
Total, Total, Tulcea, Anul 1996, Numar persoane, 3639
Total, Total, Tulcea, Anul 1997, Numar persoane, 3513
Total, Total, Tulcea, Anul 1998, Numar persoane, 3497
Total, Total, Tulcea, Anul 1999, Numar persoane, 3268
Total, Total, Tulcea, Anul 2000, Numar persoane, 3189
Total, Total, Tulcea, Anul 2001, Numar persoane, 3156
Total, Total, Tulcea, Anul 2002, Numar persoane, 2904
Total, Total, Tulcea, Anul 2003, Numar persoane, 2842
Total, Total, Tulcea, Anul 2004, Numar persoane, 3015
Total, Total, Tulcea, Anul 2005, Numar persoane, 2797
Total, Total, Tulcea, Anul 2006, Numar persoane, 2756
Total, Total, Tulcea, Anul 2007, Numar persoane, 2672
Total, Total, Tulcea, Anul 2008, Numar persoane, 2793
Total, Total, Tulcea, Anul 2009, Numar persoane, 2701
Total, Total, Tulcea, Anul 2010, Numar persoane, 2411
Total, Total, Tulcea, Anul 2011, Numar persoane, 2404
Total, Total, Tulcea, Anul 2012, Numar persoane, 2328
Total, Total, Tulcea, Anul 2013, Numar persoane, 2372
Total, Total, Tulcea, Anul 2014, Numar persoane, 2330
Total, Total, Tulcea, Anul 2015, Numar persoane, 2193
Total, Total, Tulcea, Anul 2016, Numar persoane, 2100
Total, Total, Tulcea, Anul 2017, Numar persoane, 2081
Total, Total, Tulcea, Anul 2018, Numar persoane, 2046
Total, Total, Tulcea, Anul 2019, Numar persoane, 2037
Total, Total, Tulcea, Anul 2020, Numar persoane, 2063
Total, Total, Tulcea, Anul 2021, Numar persoane, 2002
Total, Total, Vrancea, Anul 1990, Numar persoane, 4614
Total, Total, Vrancea, Anul 1991, Numar persoane, 4462
Total, Total, Vrancea, Anul 1992, Numar persoane, 4558
Total, Total, Vrancea, Anul 1993, Numar persoane, 4749
Total, Total, Vrancea, Anul 1994, Numar persoane, 4711
Total, Total, Vrancea, Anul 1995, Numar persoane, 4986
Total, Total, Vrancea, Anul 1996, Numar persoane, 5001
Total, Total, Vrancea, Anul 1997, Numar persoane, 4835
Total, Total, Vrancea, Anul 1998, Numar persoane, 4743
Total, Total, Vrancea, Anul 1999, Numar persoane, 4559
Total, Total, Vrancea, Anul 2000, Numar persoane, 4447
Total, Total, Vrancea, Anul 2001, Numar persoane, 4609
Total, Total, Vrancea, Anul 2002, Numar persoane, 4370
Total, Total, Vrancea, Anul 2003, Numar persoane, 4291
Total, Total, Vrancea, Anul 2004, Numar persoane, 4272
Total, Total, Vrancea, Anul 2005, Numar persoane, 4055
Total, Total, Vrancea, Anul 2006, Numar persoane, 3945
Total, Total, Vrancea, Anul 2007, Numar persoane, 3776
Total, Total, Vrancea, Anul 2008, Numar persoane, 3590
Total, Total, Vrancea, Anul 2009, Numar persoane, 3634
Total, Total, Vrancea, Anul 2010, Numar persoane, 3434
Total, Total, Vrancea, Anul 2011, Numar persoane, 3426
Total, Total, Vrancea, Anul 2012, Numar persoane, 3417
Total, Total, Vrancea, Anul 2013, Numar persoane, 3454
Total, Total, Vrancea, Anul 2014, Numar persoane, 3545
Total, Total, Vrancea, Anul 2015, Numar persoane, 3449
Total, Total, Vrancea, Anul 2016, Numar persoane, 3442
Total, Total, Vrancea, Anul 2017, Numar persoane, 3456
Total, Total, Vrancea, Anul 2018, Numar persoane, 3450
Total, Total, Vrancea, Anul 2019, Numar persoane, 3416
Total, Total, Vrancea, Anul 2020, Numar persoane, 3532
Total, Total, Vrancea, Anul 2021, Numar persoane, 3521
Total, Total, Arges, Anul 1990, Numar persoane, 8667
Total, Total, Arges, Anul 1991, Numar persoane, 9085
Total, Total, Arges, Anul 1992, Numar persoane, 9175
Total, Total, Arges, Anul 1993, Numar persoane, 9055
Total, Total, Arges, Anul 1994, Numar persoane, 9224
Total, Total, Arges, Anul 1995, Numar persoane, 9524
Total, Total, Arges, Anul 1996, Numar persoane, 9657
Total, Total, Arges, Anul 1997, Numar persoane, 9372
Total, Total, Arges, Anul 1998, Numar persoane, 9678
Total, Total, Arges, Anul 1999, Numar persoane, 9317
Total, Total, Arges, Anul 2000, Numar persoane, 9292
Total, Total, Arges, Anul 2001, Numar persoane, 9340
Total, Total, Arges, Anul 2002, Numar persoane, 8945
Total, Total, Arges, Anul 2003, Numar persoane, 8720
Total, Total, Arges, Anul 2004, Numar persoane, 8949
Total, Total, Arges, Anul 2005, Numar persoane, 8670
Total, Total, Arges, Anul 2006, Numar persoane, 8410
Total, Total, Arges, Anul 2007, Numar persoane, 8373
Total, Total, Arges, Anul 2008, Numar persoane, 8275
Total, Total, Arges, Anul 2009, Numar persoane, 8230
Total, Total, Arges, Anul 2010, Numar persoane, 7804
Total, Total, Arges, Anul 2011, Numar persoane, 7345
Total, Total, Arges, Anul 2012, Numar persoane, 7230
Total, Total, Arges, Anul 2013, Numar persoane, 7144
Total, Total, Arges, Anul 2014, Numar persoane, 7111
Total, Total, Arges, Anul 2015, Numar persoane, 6854
Total, Total, Arges, Anul 2016, Numar persoane, 6749
Total, Total, Arges, Anul 2017, Numar persoane, 6743
Total, Total, Arges, Anul 2018, Numar persoane, 6627
Total, Total, Arges, Anul 2019, Numar persoane, 6658
Total, Total, Arges, Anul 2020, Numar persoane, 6669
Total, Total, Arges, Anul 2021, Numar persoane, 6664
Total, Total, Calarasi, Anul 1990, Numar persoane, 3149
Total, Total, Calarasi, Anul 1991, Numar persoane, 3161
Total, Total, Calarasi, Anul 1992, Numar persoane, 3216
Total, Total, Calarasi, Anul 1993, Numar persoane, 3193
Total, Total, Calarasi, Anul 1994, Numar persoane, 3308
Total, Total, Calarasi, Anul 1995, Numar persoane, 3422
Total, Total, Calarasi, Anul 1996, Numar persoane, 3524
Total, Total, Calarasi, Anul 1997, Numar persoane, 3514
Total, Total, Calarasi, Anul 1998, Numar persoane, 3532
Total, Total, Calarasi, Anul 1999, Numar persoane, 3394
Total, Total, Calarasi, Anul 2000, Numar persoane, 3345
Total, Total, Calarasi, Anul 2001, Numar persoane, 3377
Total, Total, Calarasi, Anul 2002, Numar persoane, 3230
Total, Total, Calarasi, Anul 2003, Numar persoane, 3109
Total, Total, Calarasi, Anul 2004, Numar persoane, 3131
Total, Total, Calarasi, Anul 2005, Numar persoane, 3117
Total, Total, Calarasi, Anul 2006, Numar persoane, 3118
Total, Total, Calarasi, Anul 2007, Numar persoane, 3056
Total, Total, Calarasi, Anul 2008, Numar persoane, 3115
Total, Total, Calarasi, Anul 2009, Numar persoane, 2994
Total, Total, Calarasi, Anul 2010, Numar persoane, 2987
Total, Total, Calarasi, Anul 2011, Numar persoane, 2946
Total, Total, Calarasi, Anul 2012, Numar persoane, 2822
Total, Total, Calarasi, Anul 2013, Numar persoane, 2866
Total, Total, Calarasi, Anul 2014, Numar persoane, 2917
Total, Total, Calarasi, Anul 2015, Numar persoane, 2716
Total, Total, Calarasi, Anul 2016, Numar persoane, 2724
Total, Total, Calarasi, Anul 2017, Numar persoane, 2670
Total, Total, Calarasi, Anul 2018, Numar persoane, 2671
Total, Total, Calarasi, Anul 2019, Numar persoane, 2654
Total, Total, Calarasi, Anul 2020, Numar persoane, 2609
Total, Total, Calarasi, Anul 2021, Numar persoane, 2625
Total, Total, Dambovita, Anul 1990, Numar persoane, 6146
Total, Total, Dambovita, Anul 1991, Numar persoane, 5868
Total, Total, Dambovita, Anul 1992, Numar persoane, 5980
Total, Total, Dambovita, Anul 1993, Numar persoane, 6239
Total, Total, Dambovita, Anul 1994, Numar persoane, 6279
Total, Total, Dambovita, Anul 1995, Numar persoane, 6607
Total, Total, Dambovita, Anul 1996, Numar persoane, 6985
Total, Total, Dambovita, Anul 1997, Numar persoane, 6931
Total, Total, Dambovita, Anul 1998, Numar persoane, 7065
Total, Total, Dambovita, Anul 1999, Numar persoane, 6878
Total, Total, Dambovita, Anul 2000, Numar persoane, 6957
Total, Total, Dambovita, Anul 2001, Numar persoane, 7117
Total, Total, Dambovita, Anul 2002, Numar persoane, 6787
Total, Total, Dambovita, Anul 2003, Numar persoane, 6429
Total, Total, Dambovita, Anul 2004, Numar persoane, 6572
Total, Total, Dambovita, Anul 2005, Numar persoane, 6605
Total, Total, Dambovita, Anul 2006, Numar persoane, 6612
Total, Total, Dambovita, Anul 2007, Numar persoane, 6505
Total, Total, Dambovita, Anul 2008, Numar persoane, 6484
Total, Total, Dambovita, Anul 2009, Numar persoane, 6284
Total, Total, Dambovita, Anul 2010, Numar persoane, 5949
Total, Total, Dambovita, Anul 2011, Numar persoane, 5745
Total, Total, Dambovita, Anul 2012, Numar persoane, 5613
Total, Total, Dambovita, Anul 2013, Numar persoane, 5567
Total, Total, Dambovita, Anul 2014, Numar persoane, 5621
Total, Total, Dambovita, Anul 2015, Numar persoane, 5394
Total, Total, Dambovita, Anul 2016, Numar persoane, 5333
Total, Total, Dambovita, Anul 2017, Numar persoane, 5251
Total, Total, Dambovita, Anul 2018, Numar persoane, 4933
Total, Total, Dambovita, Anul 2019, Numar persoane, 4927
Total, Total, Dambovita, Anul 2020, Numar persoane, 4888
Total, Total, Dambovita, Anul 2021, Numar persoane, 4892
Total, Total, Giurgiu, Anul 1990, Numar persoane, 2631
Total, Total, Giurgiu, Anul 1991, Numar persoane, 2512
Total, Total, Giurgiu, Anul 1992, Numar persoane, 2599
Total, Total, Giurgiu, Anul 1993, Numar persoane, 2638
Total, Total, Giurgiu, Anul 1994, Numar persoane, 2687
Total, Total, Giurgiu, Anul 1995, Numar persoane, 2825
Total, Total, Giurgiu, Anul 1996, Numar persoane, 2880
Total, Total, Giurgiu, Anul 1997, Numar persoane, 2774
Total, Total, Giurgiu, Anul 1998, Numar persoane, 2830
Total, Total, Giurgiu, Anul 1999, Numar persoane, 2607
Total, Total, Giurgiu, Anul 2000, Numar persoane, 2605
Total, Total, Giurgiu, Anul 2001, Numar persoane, 2703
Total, Total, Giurgiu, Anul 2002, Numar persoane, 2554
Total, Total, Giurgiu, Anul 2003, Numar persoane, 2522
Total, Total, Giurgiu, Anul 2004, Numar persoane, 2678
Total, Total, Giurgiu, Anul 2005, Numar persoane, 2553
Total, Total, Giurgiu, Anul 2006, Numar persoane, 2531
Total, Total, Giurgiu, Anul 2007, Numar persoane, 2581
Total, Total, Giurgiu, Anul 2008, Numar persoane, 2676
Total, Total, Giurgiu, Anul 2009, Numar persoane, 2681
Total, Total, Giurgiu, Anul 2010, Numar persoane, 2555
Total, Total, Giurgiu, Anul 2011, Numar persoane, 2534
Total, Total, Giurgiu, Anul 2012, Numar persoane, 2473
Total, Total, Giurgiu, Anul 2013, Numar persoane, 2545
Total, Total, Giurgiu, Anul 2014, Numar persoane, 2531
Total, Total, Giurgiu, Anul 2015, Numar persoane, 2439
Total, Total, Giurgiu, Anul 2016, Numar persoane, 2507
Total, Total, Giurgiu, Anul 2017, Numar persoane, 2481
Total, Total, Giurgiu, Anul 2018, Numar persoane, 2429
Total, Total, Giurgiu, Anul 2019, Numar persoane, 2403
Total, Total, Giurgiu, Anul 2020, Numar persoane, 2353
Total, Total, Giurgiu, Anul 2021, Numar persoane, 2404
Total, Total, Ialomita, Anul 1990, Numar persoane, 3126
Total, Total, Ialomita, Anul 1991, Numar persoane, 2978
Total, Total, Ialomita, Anul 1992, Numar persoane, 3176
Total, Total, Ialomita, Anul 1993, Numar persoane, 3128
Total, Total, Ialomita, Anul 1994, Numar persoane, 3172
Total, Total, Ialomita, Anul 1995, Numar persoane, 3209
Total, Total, Ialomita, Anul 1996, Numar persoane, 3418
Total, Total, Ialomita, Anul 1997, Numar persoane, 3421
Total, Total, Ialomita, Anul 1998, Numar persoane, 3325
Total, Total, Ialomita, Anul 1999, Numar persoane, 2976
Total, Total, Ialomita, Anul 2000, Numar persoane, 2977
Total, Total, Ialomita, Anul 2001, Numar persoane, 3134
Total, Total, Ialomita, Anul 2002, Numar persoane, 2872
Total, Total, Ialomita, Anul 2003, Numar persoane, 2980
Total, Total, Ialomita, Anul 2004, Numar persoane, 3088
Total, Total, Ialomita, Anul 2005, Numar persoane, 2991
Total, Total, Ialomita, Anul 2006, Numar persoane, 2967
Total, Total, Ialomita, Anul 2007, Numar persoane, 2964
Total, Total, Ialomita, Anul 2008, Numar persoane, 2927
Total, Total, Ialomita, Anul 2009, Numar persoane, 2905
Total, Total, Ialomita, Anul 2010, Numar persoane, 2780
Total, Total, Ialomita, Anul 2011, Numar persoane, 2726
Total, Total, Ialomita, Anul 2012, Numar persoane, 2717
Total, Total, Ialomita, Anul 2013, Numar persoane, 2685
Total, Total, Ialomita, Anul 2014, Numar persoane, 2495
Total, Total, Ialomita, Anul 2015, Numar persoane, 2448
Total, Total, Ialomita, Anul 2016, Numar persoane, 2447
Total, Total, Ialomita, Anul 2017, Numar persoane, 2341
Total, Total, Ialomita, Anul 2018, Numar persoane, 2328
Total, Total, Ialomita, Anul 2019, Numar persoane, 2319
Total, Total, Ialomita, Anul 2020, Numar persoane, 2309
Total, Total, Ialomita, Anul 2021, Numar persoane, 2274
Total, Total, Prahova, Anul 1990, Numar persoane, 9004
Total, Total, Prahova, Anul 1991, Numar persoane, 8900
Total, Total, Prahova, Anul 1992, Numar persoane, 8952
Total, Total, Prahova, Anul 1993, Numar persoane, 8998
Total, Total, Prahova, Anul 1994, Numar persoane, 9387
Total, Total, Prahova, Anul 1995, Numar persoane, 9539
Total, Total, Prahova, Anul 1996, Numar persoane, 9831
Total, Total, Prahova, Anul 1997, Numar persoane, 9459
Total, Total, Prahova, Anul 1998, Numar persoane, 9395
Total, Total, Prahova, Anul 1999, Numar persoane, 9018
Total, Total, Prahova, Anul 2000, Numar persoane, 8792
