Niveluri de educatie, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Maramures, Anul 1994, Numar persoane, 7504
Total, Total, Maramures, Anul 1995, Numar persoane, 7624
Total, Total, Maramures, Anul 1996, Numar persoane, 7665
Total, Total, Maramures, Anul 1997, Numar persoane, 7843
Total, Total, Maramures, Anul 1998, Numar persoane, 7887
Total, Total, Maramures, Anul 1999, Numar persoane, 7461
Total, Total, Maramures, Anul 2000, Numar persoane, 7318
Total, Total, Maramures, Anul 2001, Numar persoane, 7391
Total, Total, Maramures, Anul 2002, Numar persoane, 6974
Total, Total, Maramures, Anul 2003, Numar persoane, 6852
Total, Total, Maramures, Anul 2004, Numar persoane, 6897
Total, Total, Maramures, Anul 2005, Numar persoane, 6802
Total, Total, Maramures, Anul 2006, Numar persoane, 6697
Total, Total, Maramures, Anul 2007, Numar persoane, 6720
Total, Total, Maramures, Anul 2008, Numar persoane, 6867
Total, Total, Maramures, Anul 2009, Numar persoane, 6642
Total, Total, Maramures, Anul 2010, Numar persoane, 6187
Total, Total, Maramures, Anul 2011, Numar persoane, 6003
Total, Total, Maramures, Anul 2012, Numar persoane, 5552
Total, Total, Maramures, Anul 2013, Numar persoane, 5858
Total, Total, Maramures, Anul 2014, Numar persoane, 5779
Total, Total, Maramures, Anul 2015, Numar persoane, 5579
Total, Total, Maramures, Anul 2016, Numar persoane, 5431
Total, Total, Maramures, Anul 2017, Numar persoane, 5443
Total, Total, Maramures, Anul 2018, Numar persoane, 5323
Total, Total, Maramures, Anul 2019, Numar persoane, 5416
Total, Total, Maramures, Anul 2020, Numar persoane, 5357
Total, Total, Maramures, Anul 2021, Numar persoane, 5271
Total, Total, Satu Mare, Anul 1990, Numar persoane, 5084
Total, Total, Satu Mare, Anul 1991, Numar persoane, 5446
Total, Total, Satu Mare, Anul 1992, Numar persoane, 5429
Total, Total, Satu Mare, Anul 1993, Numar persoane, 5489
Total, Total, Satu Mare, Anul 1994, Numar persoane, 5575
Total, Total, Satu Mare, Anul 1995, Numar persoane, 5698
Total, Total, Satu Mare, Anul 1996, Numar persoane, 5850
Total, Total, Satu Mare, Anul 1997, Numar persoane, 5471
Total, Total, Satu Mare, Anul 1998, Numar persoane, 5510
Total, Total, Satu Mare, Anul 1999, Numar persoane, 5324
Total, Total, Satu Mare, Anul 2000, Numar persoane, 5010
