Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Covasna, Anul 2020, Numar, 0
Covasna, Anul 2021, Numar, 0
Harghita, Anul 1993, Numar, 11
Harghita, Anul 1994, Numar, 5
Harghita, Anul 1995, Numar, 11
Harghita, Anul 1996, Numar, 4
Harghita, Anul 1997, Numar, 2
Harghita, Anul 1998, Numar, 6
Harghita, Anul 1999, Numar, 10
Harghita, Anul 2000, Numar, 6
Harghita, Anul 2002, Numar, 2
Harghita, Anul 2003, Numar, 1
Harghita, Anul 2004, Numar, 2
Harghita, Anul 2005, Numar, 2
Harghita, Anul 2006, Numar, 1
Harghita, Anul 2007, Numar, 2
Harghita, Anul 2008, Numar, 1
Harghita, Anul 2011, Numar, 1
Mures, Anul 1992, Numar, 4
Mures, Anul 1993, Numar, 9
Mures, Anul 1994, Numar, 28
Mures, Anul 1995, Numar, 10
Mures, Anul 1996, Numar, 7
Mures, Anul 1997, Numar, 9
Mures, Anul 1998, Numar, 8
Mures, Anul 1999, Numar, 11
Mures, Anul 2000, Numar, 4
Mures, Anul 2002, Numar, 4
Mures, Anul 2003, Numar, 1
Mures, Anul 2004, Numar, 3
Mures, Anul 2005, Numar, 1
Mures, Anul 2006, Numar, 5
Mures, Anul 2008, Numar, 1
Mures, Anul 2009, Numar, 1
Mures, Anul 2010, Numar, 3
Mures, Anul 2016, Numar, 1
Mures, Anul 2017, Numar, 1
Sibiu, Anul 1992, Numar, 6
Sibiu, Anul 1993, Numar, 6
Sibiu, Anul 1994, Numar, 10
Sibiu, Anul 1995, Numar, 10
Sibiu, Anul 1996, Numar, 1
Sibiu, Anul 1997, Numar, 5
Sibiu, Anul 1998, Numar, 17
Sibiu, Anul 1999, Numar, 38
Sibiu, Anul 2000, Numar, 4
Sibiu, Anul 2001, Numar, 5
Sibiu, Anul 2002, Numar, 7
Sibiu, Anul 2003, Numar, 3
Sibiu, Anul 2004, Numar, 4
Sibiu, Anul 2005, Numar, 3
Sibiu, Anul 2006, Numar, 3
