Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Arad, Anul 2003, Numar, 3
Arad, Anul 2004, Numar, 2
Arad, Anul 2005, Numar, 1
Arad, Anul 2006, Numar, 1
Arad, Anul 2007, Numar, 3
Arad, Anul 2008, Numar, 1
Arad, Anul 2010, Numar, 1
Arad, Anul 2012, Numar, 1
Arad, Anul 2014, Numar, 1
Arad, Anul 2017, Numar, 1
Arad, Anul 2019, Numar, 1
Arad, Anul 2020, Numar, 0
Arad, Anul 2021, Numar, 0
Caras-Severin, Anul 1992, Numar, 9
Caras-Severin, Anul 1993, Numar, 2
Caras-Severin, Anul 1994, Numar, 6
Caras-Severin, Anul 1995, Numar, 5
Caras-Severin, Anul 1996, Numar, 1
Caras-Severin, Anul 1997, Numar, 1
Caras-Severin, Anul 1999, Numar, 8
Caras-Severin, Anul 2000, Numar, 4
Caras-Severin, Anul 2010, Numar, 1
Caras-Severin, Anul 2016, Numar, 1
Caras-Severin, Anul 2019, Numar, 1
Caras-Severin, Anul 2020, Numar, 0
Caras-Severin, Anul 2021, Numar, 0
Hunedoara, Anul 1992, Numar, 10
Hunedoara, Anul 1993, Numar, 9
Hunedoara, Anul 1994, Numar, 20
Hunedoara, Anul 1995, Numar, 13
Hunedoara, Anul 1996, Numar, 10
Hunedoara, Anul 1997, Numar, 20
Hunedoara, Anul 1998, Numar, 15
Hunedoara, Anul 1999, Numar, 38
Hunedoara, Anul 2000, Numar, 3
Hunedoara, Anul 2001, Numar, 4
Hunedoara, Anul 2002, Numar, 1
Hunedoara, Anul 2003, Numar, 7
Hunedoara, Anul 2004, Numar, 2
Hunedoara, Anul 2005, Numar, 2
Hunedoara, Anul 2006, Numar, 1
Hunedoara, Anul 2007, Numar, 1
Hunedoara, Anul 2008, Numar, 4
Hunedoara, Anul 2009, Numar, 5
Hunedoara, Anul 2010, Numar, 2
Hunedoara, Anul 2011, Numar, 3
Hunedoara, Anul 2012, Numar, 1
Hunedoara, Anul 2013, Numar, 6
Hunedoara, Anul 2014, Numar, 1
Hunedoara, Anul 2015, Numar, 7
Hunedoara, Anul 2016, Numar, 3
Hunedoara, Anul 2017, Numar, 1
Hunedoara, Anul 2019, Numar, 1
Hunedoara, Anul 2020, Numar, 0
Hunedoara, Anul 2021, Numar, 0
Timis, Anul 1994, Numar, 12
Timis, Anul 1995, Numar, 17
Timis, Anul 1996, Numar, 15
Timis, Anul 1997, Numar, 17
Timis, Anul 1998, Numar, 26
Timis, Anul 1999, Numar, 26
Timis, Anul 2000, Numar, 4
Timis, Anul 2001, Numar, 4
Timis, Anul 2002, Numar, 6
Timis, Anul 2003, Numar, 15
Timis, Anul 2004, Numar, 3
Timis, Anul 2005, Numar, 5
Timis, Anul 2006, Numar, 2
Timis, Anul 2007, Numar, 5
Timis, Anul 2008, Numar, 3
Timis, Anul 2009, Numar, 3
Timis, Anul 2010, Numar, 2
Timis, Anul 2012, Numar, 1
Timis, Anul 2014, Numar, 1
Timis, Anul 2016, Numar, 1
Timis, Anul 2018, Numar, 3
