Niveluri de educatie, Judete, Localitati , Ani, UM: Numar, Valoare
Total, Bacau, TOTAL, Anul 2017, Numar, 186
Total, Bacau, TOTAL, Anul 2018, Numar, 186
Total, Bacau, TOTAL, Anul 2019, Numar, 188
Total, Bacau, TOTAL, Anul 2020, Numar, 187
Total, Bacau, TOTAL, Anul 2021, Numar, 185
Total, Bihor, TOTAL, Anul 1992, Numar, 1101
Total, Bihor, TOTAL, Anul 1993, Numar, 1108
Total, Bihor, TOTAL, Anul 1994, Numar, 1093
Total, Bihor, TOTAL, Anul 1995, Numar, 1084
Total, Bihor, TOTAL, Anul 1996, Numar, 1083
Total, Bihor, TOTAL, Anul 1997, Numar, 1067
Total, Bihor, TOTAL, Anul 1998, Numar, 1074
Total, Bihor, TOTAL, Anul 1999, Numar, 1028
Total, Bihor, TOTAL, Anul 2000, Numar, 1014
Total, Bihor, TOTAL, Anul 2001, Numar, 1005
Total, Bihor, TOTAL, Anul 2002, Numar, 1001
Total, Bihor, TOTAL, Anul 2003, Numar, 349
Total, Bihor, TOTAL, Anul 2004, Numar, 348
Total, Bihor, TOTAL, Anul 2005, Numar, 345
Total, Bihor, TOTAL, Anul 2006, Numar, 221
Total, Bihor, TOTAL, Anul 2007, Numar, 225
Total, Bihor, TOTAL, Anul 2008, Numar, 219
Total, Bihor, TOTAL, Anul 2009, Numar, 228
Total, Bihor, TOTAL, Anul 2010, Numar, 221
Total, Bihor, TOTAL, Anul 2011, Numar, 220
Total, Bihor, TOTAL, Anul 2012, Numar, 205
Total, Bihor, TOTAL, Anul 2013, Numar, 207
Total, Bihor, TOTAL, Anul 2014, Numar, 209
Total, Bihor, TOTAL, Anul 2015, Numar, 216
Total, Bihor, TOTAL, Anul 2016, Numar, 207
Total, Bihor, TOTAL, Anul 2017, Numar, 206
Total, Bihor, TOTAL, Anul 2018, Numar, 203
Total, Bihor, TOTAL, Anul 2019, Numar, 204
Total, Bihor, TOTAL, Anul 2020, Numar, 204
Total, Bihor, TOTAL, Anul 2021, Numar, 206
Total, Bistrita-Nasaud, TOTAL, Anul 1992, Numar, 587
Total, Bistrita-Nasaud, TOTAL, Anul 1993, Numar, 595
Total, Bistrita-Nasaud, TOTAL, Anul 1994, Numar, 594
Total, Bistrita-Nasaud, TOTAL, Anul 1995, Numar, 605
Total, Bistrita-Nasaud, TOTAL, Anul 1996, Numar, 604
Total, Bistrita-Nasaud, TOTAL, Anul 1997, Numar, 600
Total, Bistrita-Nasaud, TOTAL, Anul 1998, Numar, 604
Total, Bistrita-Nasaud, TOTAL, Anul 1999, Numar, 581
Total, Bistrita-Nasaud, TOTAL, Anul 2000, Numar, 448
Total, Bistrita-Nasaud, TOTAL, Anul 2001, Numar, 420
Total, Bistrita-Nasaud, TOTAL, Anul 2002, Numar, 419
Total, Bistrita-Nasaud, TOTAL, Anul 2003, Numar, 288
Total, Bistrita-Nasaud, TOTAL, Anul 2004, Numar, 89
Total, Bistrita-Nasaud, TOTAL, Anul 2005, Numar, 100
Total, Bistrita-Nasaud, TOTAL, Anul 2006, Numar, 120
Total, Bistrita-Nasaud, TOTAL, Anul 2007, Numar, 121
Total, Bistrita-Nasaud, TOTAL, Anul 2008, Numar, 120
Total, Bistrita-Nasaud, TOTAL, Anul 2009, Numar, 132
Total, Bistrita-Nasaud, TOTAL, Anul 2010, Numar, 126
Total, Bistrita-Nasaud, TOTAL, Anul 2011, Numar, 126
Total, Bistrita-Nasaud, TOTAL, Anul 2012, Numar, 120
Total, Bistrita-Nasaud, TOTAL, Anul 2013, Numar, 120
Total, Bistrita-Nasaud, TOTAL, Anul 2014, Numar, 120
Total, Bistrita-Nasaud, TOTAL, Anul 2015, Numar, 119
Total, Bistrita-Nasaud, TOTAL, Anul 2016, Numar, 115
Total, Bistrita-Nasaud, TOTAL, Anul 2017, Numar, 116
Total, Bistrita-Nasaud, TOTAL, Anul 2018, Numar, 117
Total, Bistrita-Nasaud, TOTAL, Anul 2019, Numar, 111
Total, Bistrita-Nasaud, TOTAL, Anul 2020, Numar, 116
Total, Bistrita-Nasaud, TOTAL, Anul 2021, Numar, 115
Total, Botosani, TOTAL, Anul 1992, Numar, 802
Total, Botosani, TOTAL, Anul 1993, Numar, 809
Total, Botosani, TOTAL, Anul 1994, Numar, 813
Total, Botosani, TOTAL, Anul 1995, Numar, 815
Total, Botosani, TOTAL, Anul 1996, Numar, 819
Total, Botosani, TOTAL, Anul 1997, Numar, 802
Total, Botosani, TOTAL, Anul 1998, Numar, 793
Total, Botosani, TOTAL, Anul 1999, Numar, 766
Total, Botosani, TOTAL, Anul 2000, Numar, 761
Total, Botosani, TOTAL, Anul 2001, Numar, 758
Total, Botosani, TOTAL, Anul 2002, Numar, 756
Total, Botosani, TOTAL, Anul 2003, Numar, 587
Total, Botosani, TOTAL, Anul 2004, Numar, 587
Total, Botosani, TOTAL, Anul 2005, Numar, 271
Total, Botosani, TOTAL, Anul 2006, Numar, 173
Total, Botosani, TOTAL, Anul 2007, Numar, 168
Total, Botosani, TOTAL, Anul 2008, Numar, 170
Total, Botosani, TOTAL, Anul 2009, Numar, 147
Total, Botosani, TOTAL, Anul 2010, Numar, 145
Total, Botosani, TOTAL, Anul 2011, Numar, 127
Total, Botosani, TOTAL, Anul 2012, Numar, 127
Total, Botosani, TOTAL, Anul 2013, Numar, 129
Total, Botosani, TOTAL, Anul 2014, Numar, 132
Total, Botosani, TOTAL, Anul 2015, Numar, 132
Total, Botosani, TOTAL, Anul 2016, Numar, 132
Total, Botosani, TOTAL, Anul 2017, Numar, 132
Total, Botosani, TOTAL, Anul 2018, Numar, 133
Total, Botosani, TOTAL, Anul 2019, Numar, 134
Total, Botosani, TOTAL, Anul 2020, Numar, 132
Total, Botosani, TOTAL, Anul 2021, Numar, 131
Total, Brasov, TOTAL, Anul 1992, Numar, 550
Total, Brasov, TOTAL, Anul 1993, Numar, 566
Total, Brasov, TOTAL, Anul 1994, Numar, 551
Total, Brasov, TOTAL, Anul 1995, Numar, 568
Total, Brasov, TOTAL, Anul 1996, Numar, 582
Total, Brasov, TOTAL, Anul 1997, Numar, 561
Total, Brasov, TOTAL, Anul 1998, Numar, 579
Total, Brasov, TOTAL, Anul 1999, Numar, 501
Total, Brasov, TOTAL, Anul 2000, Numar, 492
Total, Brasov, TOTAL, Anul 2001, Numar, 482
Total, Brasov, TOTAL, Anul 2002, Numar, 485
Total, Brasov, TOTAL, Anul 2003, Numar, 465
Total, Brasov, TOTAL, Anul 2004, Numar, 459
Total, Brasov, TOTAL, Anul 2005, Numar, 384
Total, Brasov, TOTAL, Anul 2006, Numar, 247
Total, Brasov, TOTAL, Anul 2007, Numar, 246
Total, Brasov, TOTAL, Anul 2008, Numar, 258
Total, Brasov, TOTAL, Anul 2009, Numar, 256
Total, Brasov, TOTAL, Anul 2010, Numar, 239
Total, Brasov, TOTAL, Anul 2011, Numar, 243
Total, Brasov, TOTAL, Anul 2012, Numar, 217
Total, Brasov, TOTAL, Anul 2013, Numar, 202
Total, Brasov, TOTAL, Anul 2014, Numar, 211
Total, Brasov, TOTAL, Anul 2015, Numar, 211
Total, Brasov, TOTAL, Anul 2016, Numar, 204
Total, Brasov, TOTAL, Anul 2017, Numar, 196
Total, Brasov, TOTAL, Anul 2018, Numar, 189
Total, Brasov, TOTAL, Anul 2019, Numar, 186
Total, Brasov, TOTAL, Anul 2020, Numar, 186
Total, Brasov, TOTAL, Anul 2021, Numar, 191
Total, Braila, TOTAL, Anul 1992, Numar, 398
Total, Braila, TOTAL, Anul 1993, Numar, 407
Total, Braila, TOTAL, Anul 1994, Numar, 414
Total, Braila, TOTAL, Anul 1995, Numar, 418
Total, Braila, TOTAL, Anul 1996, Numar, 421
Total, Braila, TOTAL, Anul 1997, Numar, 419
Total, Braila, TOTAL, Anul 1998, Numar, 421
Total, Braila, TOTAL, Anul 1999, Numar, 389
Total, Braila, TOTAL, Anul 2000, Numar, 360
Total, Braila, TOTAL, Anul 2001, Numar, 356
Total, Braila, TOTAL, Anul 2002, Numar, 354
Total, Braila, TOTAL, Anul 2003, Numar, 354
Total, Braila, TOTAL, Anul 2004, Numar, 199
Total, Braila, TOTAL, Anul 2005, Numar, 138
Total, Braila, TOTAL, Anul 2006, Numar, 137
Total, Braila, TOTAL, Anul 2007, Numar, 139
Total, Braila, TOTAL, Anul 2008, Numar, 137
