Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Urban, Cluj, Anul 2020, Numar persoane, 9
Urban, Cluj, Anul 2021, Numar persoane, 7
Urban, Cluj, Anul 2022, Numar persoane, 5
Urban, Maramures, Anul 1990, Numar persoane, 61
Urban, Maramures, Anul 1991, Numar persoane, 58
Urban, Maramures, Anul 1992, Numar persoane, 48
Urban, Maramures, Anul 1993, Numar persoane, 35
Urban, Maramures, Anul 1994, Numar persoane, 36
Urban, Maramures, Anul 1995, Numar persoane, 39
Urban, Maramures, Anul 1996, Numar persoane, 54
Urban, Maramures, Anul 1997, Numar persoane, 36
Urban, Maramures, Anul 1998, Numar persoane, 24
Urban, Maramures, Anul 1999, Numar persoane, 29
Urban, Maramures, Anul 2000, Numar persoane, 32
Urban, Maramures, Anul 2001, Numar persoane, 23
Urban, Maramures, Anul 2002, Numar persoane, 23
Urban, Maramures, Anul 2003, Numar persoane, 20
Urban, Maramures, Anul 2004, Numar persoane, 19
Urban, Maramures, Anul 2005, Numar persoane, 12
Urban, Maramures, Anul 2006, Numar persoane, 8
Urban, Maramures, Anul 2007, Numar persoane, 16
Urban, Maramures, Anul 2008, Numar persoane, 15
Urban, Maramures, Anul 2009, Numar persoane, 9
Urban, Maramures, Anul 2010, Numar persoane, 11
Urban, Maramures, Anul 2011, Numar persoane, 11
Urban, Maramures, Anul 2012, Numar persoane, 13
Urban, Maramures, Anul 2013, Numar persoane, 9
Urban, Maramures, Anul 2014, Numar persoane, 9
Urban, Maramures, Anul 2015, Numar persoane, 12
Urban, Maramures, Anul 2016, Numar persoane, 11
Urban, Maramures, Anul 2017, Numar persoane, 10
Urban, Maramures, Anul 2018, Numar persoane, 12
Urban, Maramures, Anul 2019, Numar persoane, 11
Urban, Maramures, Anul 2020, Numar persoane, 9
Urban, Maramures, Anul 2021, Numar persoane, 9
Urban, Maramures, Anul 2022, Numar persoane, 13
Urban, Satu Mare, Anul 1990, Numar persoane, 21
Urban, Satu Mare, Anul 1991, Numar persoane, 20
Urban, Satu Mare, Anul 1992, Numar persoane, 17
Urban, Satu Mare, Anul 1993, Numar persoane, 20
Urban, Satu Mare, Anul 1994, Numar persoane, 18
Urban, Satu Mare, Anul 1995, Numar persoane, 15
Urban, Satu Mare, Anul 1996, Numar persoane, 12
Urban, Satu Mare, Anul 1997, Numar persoane, 17
Urban, Satu Mare, Anul 1998, Numar persoane, 16
Urban, Satu Mare, Anul 1999, Numar persoane, 15
Urban, Satu Mare, Anul 2000, Numar persoane, 23
Urban, Satu Mare, Anul 2001, Numar persoane, 21
Urban, Satu Mare, Anul 2002, Numar persoane, 24
Urban, Satu Mare, Anul 2003, Numar persoane, 12
Urban, Satu Mare, Anul 2004, Numar persoane, 10
Urban, Satu Mare, Anul 2005, Numar persoane, 14
Urban, Satu Mare, Anul 2006, Numar persoane, 10
Urban, Satu Mare, Anul 2007, Numar persoane, 8
Urban, Satu Mare, Anul 2008, Numar persoane, 3
Urban, Satu Mare, Anul 2009, Numar persoane, 9
Urban, Satu Mare, Anul 2010, Numar persoane, 5
Urban, Satu Mare, Anul 2011, Numar persoane, 10
Urban, Satu Mare, Anul 2012, Numar persoane, 5
Urban, Satu Mare, Anul 2013, Numar persoane, 4
Urban, Satu Mare, Anul 2014, Numar persoane, 6
Urban, Satu Mare, Anul 2015, Numar persoane, 10
