Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Urban, Neamt, Anul 2013, Numar persoane, 7
Urban, Neamt, Anul 2014, Numar persoane, 2
Urban, Neamt, Anul 2015, Numar persoane, 7
Urban, Neamt, Anul 2016, Numar persoane, 3
Urban, Neamt, Anul 2017, Numar persoane, 9
Urban, Neamt, Anul 2018, Numar persoane, 2
Urban, Neamt, Anul 2019, Numar persoane, 5
Urban, Neamt, Anul 2020, Numar persoane, 4
Urban, Neamt, Anul 2021, Numar persoane, 6
Urban, Neamt, Anul 2022, Numar persoane, 5
Urban, Suceava, Anul 1990, Numar persoane, 27
Urban, Suceava, Anul 1991, Numar persoane, 32
Urban, Suceava, Anul 1992, Numar persoane, 18
Urban, Suceava, Anul 1993, Numar persoane, 26
Urban, Suceava, Anul 1994, Numar persoane, 24
Urban, Suceava, Anul 1995, Numar persoane, 26
Urban, Suceava, Anul 1996, Numar persoane, 24
Urban, Suceava, Anul 1997, Numar persoane, 22
Urban, Suceava, Anul 1998, Numar persoane, 23
Urban, Suceava, Anul 1999, Numar persoane, 17
Urban, Suceava, Anul 2000, Numar persoane, 11
Urban, Suceava, Anul 2001, Numar persoane, 15
Urban, Suceava, Anul 2002, Numar persoane, 20
Urban, Suceava, Anul 2003, Numar persoane, 14
Urban, Suceava, Anul 2004, Numar persoane, 24
Urban, Suceava, Anul 2005, Numar persoane, 25
Urban, Suceava, Anul 2006, Numar persoane, 17
Urban, Suceava, Anul 2007, Numar persoane, 20
Urban, Suceava, Anul 2008, Numar persoane, 13
Urban, Suceava, Anul 2009, Numar persoane, 19
Urban, Suceava, Anul 2010, Numar persoane, 12
Urban, Suceava, Anul 2011, Numar persoane, 16
Urban, Suceava, Anul 2012, Numar persoane, 12
Urban, Suceava, Anul 2013, Numar persoane, 10
Urban, Suceava, Anul 2014, Numar persoane, 9
Urban, Suceava, Anul 2015, Numar persoane, 12
Urban, Suceava, Anul 2016, Numar persoane, 12
Urban, Suceava, Anul 2017, Numar persoane, 13
Urban, Suceava, Anul 2018, Numar persoane, 17
Urban, Suceava, Anul 2019, Numar persoane, 11
Urban, Suceava, Anul 2020, Numar persoane, 12
Urban, Suceava, Anul 2021, Numar persoane, 8
Urban, Suceava, Anul 2022, Numar persoane, 9
Urban, Vaslui, Anul 1990, Numar persoane, 20
Urban, Vaslui, Anul 1991, Numar persoane, 24
Urban, Vaslui, Anul 1992, Numar persoane, 24
Urban, Vaslui, Anul 1993, Numar persoane, 10
Urban, Vaslui, Anul 1994, Numar persoane, 19
Urban, Vaslui, Anul 1995, Numar persoane, 12
Urban, Vaslui, Anul 1996, Numar persoane, 16
Urban, Vaslui, Anul 1997, Numar persoane, 13
Urban, Vaslui, Anul 1998, Numar persoane, 23
Urban, Vaslui, Anul 1999, Numar persoane, 7
Urban, Vaslui, Anul 2000, Numar persoane, 13
Urban, Vaslui, Anul 2001, Numar persoane, 9
Urban, Vaslui, Anul 2002, Numar persoane, 11
Urban, Vaslui, Anul 2003, Numar persoane, 10
Urban, Vaslui, Anul 2004, Numar persoane, 7
Urban, Vaslui, Anul 2005, Numar persoane, 22
Urban, Vaslui, Anul 2006, Numar persoane, 4
Urban, Vaslui, Anul 2007, Numar persoane, 8
Urban, Vaslui, Anul 2008, Numar persoane, 4
Urban, Vaslui, Anul 2009, Numar persoane, 13
Urban, Vaslui, Anul 2010, Numar persoane, 4
Urban, Vaslui, Anul 2011, Numar persoane, 5
Urban, Vaslui, Anul 2012, Numar persoane, 4
Urban, Vaslui, Anul 2013, Numar persoane, 1
Urban, Vaslui, Anul 2014, Numar persoane, 4
Urban, Vaslui, Anul 2015, Numar persoane, 4
Urban, Vaslui, Anul 2016, Numar persoane, 6
Urban, Vaslui, Anul 2017, Numar persoane, 5
Urban, Vaslui, Anul 2018, Numar persoane, 4
Urban, Vaslui, Anul 2019, Numar persoane, 9
Urban, Vaslui, Anul 2020, Numar persoane, 5
Urban, Vaslui, Anul 2021, Numar persoane, 5
Urban, Vaslui, Anul 2022, Numar persoane, 1
Urban, Braila, Anul 1990, Numar persoane, 12
Urban, Braila, Anul 1991, Numar persoane, 12
Urban, Braila, Anul 1992, Numar persoane, 10
Urban, Braila, Anul 1993, Numar persoane, 9
Urban, Braila, Anul 1994, Numar persoane, 5
Urban, Braila, Anul 1995, Numar persoane, 9
Urban, Braila, Anul 1996, Numar persoane, 4
Urban, Braila, Anul 1997, Numar persoane, 5
Urban, Braila, Anul 1998, Numar persoane, 3
Urban, Braila, Anul 1999, Numar persoane, 3
Urban, Braila, Anul 2000, Numar persoane, 3
Urban, Braila, Anul 2001, Numar persoane, 3
Urban, Braila, Anul 2003, Numar persoane, 12
Urban, Braila, Anul 2004, Numar persoane, 15
Urban, Braila, Anul 2005, Numar persoane, 7
Urban, Braila, Anul 2006, Numar persoane, 10
Urban, Braila, Anul 2007, Numar persoane, 6
Urban, Braila, Anul 2008, Numar persoane, 10
Urban, Braila, Anul 2009, Numar persoane, 6
Urban, Braila, Anul 2010, Numar persoane, 7
Urban, Braila, Anul 2011, Numar persoane, 4
Urban, Braila, Anul 2012, Numar persoane, 9
Urban, Braila, Anul 2013, Numar persoane, 9
Urban, Braila, Anul 2014, Numar persoane, 6
Urban, Braila, Anul 2015, Numar persoane, 3
Urban, Braila, Anul 2016, Numar persoane, 6
Urban, Braila, Anul 2017, Numar persoane, 7
Urban, Braila, Anul 2018, Numar persoane, 9
Urban, Braila, Anul 2019, Numar persoane, 5
Urban, Braila, Anul 2020, Numar persoane, 3
Urban, Braila, Anul 2021, Numar persoane, 2
Urban, Braila, Anul 2022, Numar persoane, 5
Urban, Buzau, Anul 1990, Numar persoane, 20
Urban, Buzau, Anul 1991, Numar persoane, 22
Urban, Buzau, Anul 1992, Numar persoane, 15
Urban, Buzau, Anul 1993, Numar persoane, 13
Urban, Buzau, Anul 1994, Numar persoane, 17
Urban, Buzau, Anul 1995, Numar persoane, 9
Urban, Buzau, Anul 1996, Numar persoane, 12
Urban, Buzau, Anul 1997, Numar persoane, 9
Urban, Buzau, Anul 1998, Numar persoane, 11
Urban, Buzau, Anul 1999, Numar persoane, 11
Urban, Buzau, Anul 2000, Numar persoane, 8
Urban, Buzau, Anul 2001, Numar persoane, 9
Urban, Buzau, Anul 2002, Numar persoane, 8
Urban, Buzau, Anul 2003, Numar persoane, 8
Urban, Buzau, Anul 2004, Numar persoane, 7
Urban, Buzau, Anul 2005, Numar persoane, 10
Urban, Buzau, Anul 2006, Numar persoane, 6
Urban, Buzau, Anul 2007, Numar persoane, 10
Urban, Buzau, Anul 2008, Numar persoane, 4
Urban, Buzau, Anul 2009, Numar persoane, 5
Urban, Buzau, Anul 2010, Numar persoane, 4
Urban, Buzau, Anul 2011, Numar persoane, 8
Urban, Buzau, Anul 2012, Numar persoane, 4
Urban, Buzau, Anul 2013, Numar persoane, 5
Urban, Buzau, Anul 2014, Numar persoane, 5
Urban, Buzau, Anul 2015, Numar persoane, 4
Urban, Buzau, Anul 2016, Numar persoane, 6
Urban, Buzau, Anul 2017, Numar persoane, 3
Urban, Buzau, Anul 2018, Numar persoane, 6
Urban, Buzau, Anul 2019, Numar persoane, 7
Urban, Buzau, Anul 2020, Numar persoane, 8
Urban, Buzau, Anul 2021, Numar persoane, 1
Urban, Buzau, Anul 2022, Numar persoane, 4
Urban, Constanta, Anul 1990, Numar persoane, 37
Urban, Constanta, Anul 1991, Numar persoane, 33
Urban, Constanta, Anul 1992, Numar persoane, 13
Urban, Constanta, Anul 1993, Numar persoane, 21
Urban, Constanta, Anul 1994, Numar persoane, 9
Urban, Constanta, Anul 1995, Numar persoane, 16
Urban, Constanta, Anul 1996, Numar persoane, 11
Urban, Constanta, Anul 1997, Numar persoane, 15
Urban, Constanta, Anul 1998, Numar persoane, 25
Urban, Constanta, Anul 1999, Numar persoane, 28
Urban, Constanta, Anul 2000, Numar persoane, 20
Urban, Constanta, Anul 2001, Numar persoane, 28
Urban, Constanta, Anul 2002, Numar persoane, 26
Urban, Constanta, Anul 2003, Numar persoane, 36
Urban, Constanta, Anul 2004, Numar persoane, 33
Urban, Constanta, Anul 2005, Numar persoane, 27
Urban, Constanta, Anul 2006, Numar persoane, 40
Urban, Constanta, Anul 2007, Numar persoane, 31
Urban, Constanta, Anul 2008, Numar persoane, 24
Urban, Constanta, Anul 2009, Numar persoane, 32
Urban, Constanta, Anul 2010, Numar persoane, 29
Urban, Constanta, Anul 2011, Numar persoane, 15
Urban, Constanta, Anul 2012, Numar persoane, 15
Urban, Constanta, Anul 2013, Numar persoane, 19
Urban, Constanta, Anul 2014, Numar persoane, 15
Urban, Constanta, Anul 2015, Numar persoane, 17
Urban, Constanta, Anul 2016, Numar persoane, 23
Urban, Constanta, Anul 2017, Numar persoane, 17
Urban, Constanta, Anul 2018, Numar persoane, 10
Urban, Constanta, Anul 2019, Numar persoane, 16
Urban, Constanta, Anul 2020, Numar persoane, 14
Urban, Constanta, Anul 2021, Numar persoane, 15
Urban, Constanta, Anul 2022, Numar persoane, 22
Urban, Galati, Anul 1990, Numar persoane, 38
Urban, Galati, Anul 1991, Numar persoane, 21
Urban, Galati, Anul 1992, Numar persoane, 16
Urban, Galati, Anul 1993, Numar persoane, 14
Urban, Galati, Anul 1994, Numar persoane, 31
Urban, Galati, Anul 1995, Numar persoane, 11
Urban, Galati, Anul 1996, Numar persoane, 19
Urban, Galati, Anul 1997, Numar persoane, 17
Urban, Galati, Anul 1998, Numar persoane, 16
Urban, Galati, Anul 1999, Numar persoane, 20
Urban, Galati, Anul 2000, Numar persoane, 15
Urban, Galati, Anul 2001, Numar persoane, 12
Urban, Galati, Anul 2002, Numar persoane, 15
Urban, Galati, Anul 2003, Numar persoane, 11
Urban, Galati, Anul 2004, Numar persoane, 11
Urban, Galati, Anul 2005, Numar persoane, 13
Urban, Galati, Anul 2006, Numar persoane, 16
Urban, Galati, Anul 2007, Numar persoane, 8
Urban, Galati, Anul 2008, Numar persoane, 15
Urban, Galati, Anul 2009, Numar persoane, 15
Urban, Galati, Anul 2010, Numar persoane, 11
Urban, Galati, Anul 2011, Numar persoane, 5
Urban, Galati, Anul 2012, Numar persoane, 3
Urban, Galati, Anul 2013, Numar persoane, 6
Urban, Galati, Anul 2014, Numar persoane, 6
Urban, Galati, Anul 2015, Numar persoane, 5
Urban, Galati, Anul 2016, Numar persoane, 7
Urban, Galati, Anul 2017, Numar persoane, 10
Urban, Galati, Anul 2018, Numar persoane, 2
Urban, Galati, Anul 2019, Numar persoane, 8
Urban, Galati, Anul 2020, Numar persoane, 6
Urban, Galati, Anul 2021, Numar persoane, 8
Urban, Galati, Anul 2022, Numar persoane, 9
Urban, Tulcea, Anul 1990, Numar persoane, 10
Urban, Tulcea, Anul 1991, Numar persoane, 14
Urban, Tulcea, Anul 1992, Numar persoane, 15
Urban, Tulcea, Anul 1993, Numar persoane, 6
Urban, Tulcea, Anul 1994, Numar persoane, 8
Urban, Tulcea, Anul 1995, Numar persoane, 9
Urban, Tulcea, Anul 1996, Numar persoane, 5
Urban, Tulcea, Anul 1997, Numar persoane, 11
Urban, Tulcea, Anul 1998, Numar persoane, 16
Urban, Tulcea, Anul 1999, Numar persoane, 10
Urban, Tulcea, Anul 2000, Numar persoane, 23
Urban, Tulcea, Anul 2001, Numar persoane, 7
Urban, Tulcea, Anul 2002, Numar persoane, 14
Urban, Tulcea, Anul 2003, Numar persoane, 14
Urban, Tulcea, Anul 2004, Numar persoane, 6
Urban, Tulcea, Anul 2005, Numar persoane, 10
Urban, Tulcea, Anul 2006, Numar persoane, 11
Urban, Tulcea, Anul 2007, Numar persoane, 8
Urban, Tulcea, Anul 2008, Numar persoane, 7
Urban, Tulcea, Anul 2009, Numar persoane, 5
Urban, Tulcea, Anul 2010, Numar persoane, 4
Urban, Tulcea, Anul 2011, Numar persoane, 5
Urban, Tulcea, Anul 2012, Numar persoane, 11
Urban, Tulcea, Anul 2013, Numar persoane, 8
Urban, Tulcea, Anul 2014, Numar persoane, 1
Urban, Tulcea, Anul 2015, Numar persoane, 3
Urban, Tulcea, Anul 2016, Numar persoane, 5
Urban, Tulcea, Anul 2017, Numar persoane, 6
Urban, Tulcea, Anul 2018, Numar persoane, 4
Urban, Tulcea, Anul 2019, Numar persoane, 1
Urban, Tulcea, Anul 2020, Numar persoane, 2
Urban, Tulcea, Anul 2021, Numar persoane, 5
Urban, Tulcea, Anul 2022, Numar persoane, 2
Urban, Vrancea, Anul 1990, Numar persoane, 12
Urban, Vrancea, Anul 1991, Numar persoane, 14
Urban, Vrancea, Anul 1992, Numar persoane, 11
Urban, Vrancea, Anul 1993, Numar persoane, 10
Urban, Vrancea, Anul 1994, Numar persoane, 9
Urban, Vrancea, Anul 1995, Numar persoane, 12
Urban, Vrancea, Anul 1996, Numar persoane, 8
Urban, Vrancea, Anul 1997, Numar persoane, 12
Urban, Vrancea, Anul 1998, Numar persoane, 11
Urban, Vrancea, Anul 1999, Numar persoane, 9
Urban, Vrancea, Anul 2000, Numar persoane, 6
Urban, Vrancea, Anul 2001, Numar persoane, 5
Urban, Vrancea, Anul 2002, Numar persoane, 13
Urban, Vrancea, Anul 2003, Numar persoane, 5
Urban, Vrancea, Anul 2004, Numar persoane, 9
Urban, Vrancea, Anul 2005, Numar persoane, 4
Urban, Vrancea, Anul 2006, Numar persoane, 10
Urban, Vrancea, Anul 2007, Numar persoane, 10
Urban, Vrancea, Anul 2008, Numar persoane, 3
Urban, Vrancea, Anul 2009, Numar persoane, 7
Urban, Vrancea, Anul 2010, Numar persoane, 4
Urban, Vrancea, Anul 2011, Numar persoane, 8
Urban, Vrancea, Anul 2012, Numar persoane, 6
Urban, Vrancea, Anul 2013, Numar persoane, 5
Urban, Vrancea, Anul 2014, Numar persoane, 9
Urban, Vrancea, Anul 2015, Numar persoane, 4
Urban, Vrancea, Anul 2017, Numar persoane, 5
Urban, Vrancea, Anul 2018, Numar persoane, 3
Urban, Vrancea, Anul 2019, Numar persoane, 3
Urban, Vrancea, Anul 2020, Numar persoane, 5
Urban, Vrancea, Anul 2021, Numar persoane, 3
Urban, Arges, Anul 1990, Numar persoane, 18
Urban, Arges, Anul 1991, Numar persoane, 21
Urban, Arges, Anul 1992, Numar persoane, 18
Urban, Arges, Anul 1993, Numar persoane, 12
Urban, Arges, Anul 1994, Numar persoane, 15
Urban, Arges, Anul 1995, Numar persoane, 11
Urban, Arges, Anul 1996, Numar persoane, 17
Urban, Arges, Anul 1997, Numar persoane, 15
Urban, Arges, Anul 1998, Numar persoane, 26
Urban, Arges, Anul 1999, Numar persoane, 19
Urban, Arges, Anul 2000, Numar persoane, 8
Urban, Arges, Anul 2001, Numar persoane, 11
Urban, Arges, Anul 2002, Numar persoane, 21
Urban, Arges, Anul 2003, Numar persoane, 17
Urban, Arges, Anul 2004, Numar persoane, 10
Urban, Arges, Anul 2005, Numar persoane, 17
Urban, Arges, Anul 2006, Numar persoane, 17
Urban, Arges, Anul 2007, Numar persoane, 18
Urban, Arges, Anul 2008, Numar persoane, 16
Urban, Arges, Anul 2009, Numar persoane, 11
Urban, Arges, Anul 2010, Numar persoane, 8
Urban, Arges, Anul 2011, Numar persoane, 14
Urban, Arges, Anul 2012, Numar persoane, 10
Urban, Arges, Anul 2013, Numar persoane, 9
Urban, Arges, Anul 2014, Numar persoane, 13
Urban, Arges, Anul 2015, Numar persoane, 5
Urban, Arges, Anul 2016, Numar persoane, 6
Urban, Arges, Anul 2017, Numar persoane, 12
Urban, Arges, Anul 2018, Numar persoane, 4
Urban, Arges, Anul 2019, Numar persoane, 7
Urban, Arges, Anul 2020, Numar persoane, 4
Urban, Arges, Anul 2021, Numar persoane, 8
Urban, Arges, Anul 2022, Numar persoane, 5
Urban, Calarasi, Anul 1990, Numar persoane, 21
Urban, Calarasi, Anul 1991, Numar persoane, 9
Urban, Calarasi, Anul 1992, Numar persoane, 13
Urban, Calarasi, Anul 1993, Numar persoane, 7
Urban, Calarasi, Anul 1994, Numar persoane, 20
Urban, Calarasi, Anul 1995, Numar persoane, 17
Urban, Calarasi, Anul 1996, Numar persoane, 15
Urban, Calarasi, Anul 1997, Numar persoane, 10
Urban, Calarasi, Anul 1998, Numar persoane, 15
Urban, Calarasi, Anul 1999, Numar persoane, 14
Urban, Calarasi, Anul 2000, Numar persoane, 15
Urban, Calarasi, Anul 2001, Numar persoane, 10
Urban, Calarasi, Anul 2002, Numar persoane, 16
Urban, Calarasi, Anul 2003, Numar persoane, 14
Urban, Calarasi, Anul 2004, Numar persoane, 14
Urban, Calarasi, Anul 2005, Numar persoane, 13
Urban, Calarasi, Anul 2006, Numar persoane, 10
Urban, Calarasi, Anul 2007, Numar persoane, 9
Urban, Calarasi, Anul 2008, Numar persoane, 8
Urban, Calarasi, Anul 2009, Numar persoane, 9
Urban, Calarasi, Anul 2010, Numar persoane, 6
Urban, Calarasi, Anul 2011, Numar persoane, 7
Urban, Calarasi, Anul 2012, Numar persoane, 6
Urban, Calarasi, Anul 2013, Numar persoane, 7
Urban, Calarasi, Anul 2014, Numar persoane, 8
Urban, Calarasi, Anul 2015, Numar persoane, 6
Urban, Calarasi, Anul 2016, Numar persoane, 2
Urban, Calarasi, Anul 2017, Numar persoane, 7
Urban, Calarasi, Anul 2018, Numar persoane, 7
Urban, Calarasi, Anul 2019, Numar persoane, 5
Urban, Calarasi, Anul 2021, Numar persoane, 5
Urban, Calarasi, Anul 2022, Numar persoane, 1
Urban, Dambovita, Anul 1990, Numar persoane, 30
Urban, Dambovita, Anul 1991, Numar persoane, 14
Urban, Dambovita, Anul 1992, Numar persoane, 9
Urban, Dambovita, Anul 1993, Numar persoane, 2
Urban, Dambovita, Anul 1994, Numar persoane, 8
Urban, Dambovita, Anul 1995, Numar persoane, 16
Urban, Dambovita, Anul 1996, Numar persoane, 14
Urban, Dambovita, Anul 1997, Numar persoane, 8
Urban, Dambovita, Anul 1998, Numar persoane, 5
Urban, Dambovita, Anul 1999, Numar persoane, 12
Urban, Dambovita, Anul 2000, Numar persoane, 8
Urban, Dambovita, Anul 2001, Numar persoane, 4
Urban, Dambovita, Anul 2002, Numar persoane, 3
Urban, Dambovita, Anul 2003, Numar persoane, 2
Urban, Dambovita, Anul 2004, Numar persoane, 3
Urban, Dambovita, Anul 2005, Numar persoane, 10
Urban, Dambovita, Anul 2006, Numar persoane, 5
Urban, Dambovita, Anul 2007, Numar persoane, 5
Urban, Dambovita, Anul 2008, Numar persoane, 2
Urban, Dambovita, Anul 2009, Numar persoane, 7
Urban, Dambovita, Anul 2010, Numar persoane, 3
Urban, Dambovita, Anul 2011, Numar persoane, 2
Urban, Dambovita, Anul 2012, Numar persoane, 1
Urban, Dambovita, Anul 2013, Numar persoane, 2
Urban, Dambovita, Anul 2014, Numar persoane, 4
Urban, Dambovita, Anul 2015, Numar persoane, 3
Urban, Dambovita, Anul 2016, Numar persoane, 4
Urban, Dambovita, Anul 2018, Numar persoane, 4
Urban, Dambovita, Anul 2019, Numar persoane, 3
Urban, Dambovita, Anul 2020, Numar persoane, 5
Urban, Dambovita, Anul 2021, Numar persoane, 3
Urban, Dambovita, Anul 2022, Numar persoane, 4
Urban, Giurgiu, Anul 1990, Numar persoane, 12
Urban, Giurgiu, Anul 1991, Numar persoane, 3
Urban, Giurgiu, Anul 1992, Numar persoane, 4
Urban, Giurgiu, Anul 1993, Numar persoane, 3
Urban, Giurgiu, Anul 1994, Numar persoane, 4
Urban, Giurgiu, Anul 1995, Numar persoane, 5
Urban, Giurgiu, Anul 1996, Numar persoane, 5
Urban, Giurgiu, Anul 1997, Numar persoane, 8
Urban, Giurgiu, Anul 1998, Numar persoane, 9
Urban, Giurgiu, Anul 1999, Numar persoane, 2
Urban, Giurgiu, Anul 2000, Numar persoane, 2
Urban, Giurgiu, Anul 2001, Numar persoane, 2
Urban, Giurgiu, Anul 2002, Numar persoane, 2
Urban, Giurgiu, Anul 2003, Numar persoane, 2
Urban, Giurgiu, Anul 2004, Numar persoane, 1
Urban, Giurgiu, Anul 2005, Numar persoane, 5
Urban, Giurgiu, Anul 2006, Numar persoane, 1
Urban, Giurgiu, Anul 2007, Numar persoane, 5
Urban, Giurgiu, Anul 2008, Numar persoane, 1
Urban, Giurgiu, Anul 2009, Numar persoane, 3
Urban, Giurgiu, Anul 2010, Numar persoane, 2
Urban, Giurgiu, Anul 2011, Numar persoane, 3
Urban, Giurgiu, Anul 2013, Numar persoane, 1
Urban, Giurgiu, Anul 2014, Numar persoane, 1
Urban, Giurgiu, Anul 2015, Numar persoane, 3
Urban, Giurgiu, Anul 2017, Numar persoane, 4
Urban, Giurgiu, Anul 2018, Numar persoane, 1
Urban, Giurgiu, Anul 2020, Numar persoane, 1
Urban, Giurgiu, Anul 2021, Numar persoane, 1
Urban, Giurgiu, Anul 2022, Numar persoane, 1
Urban, Ialomita, Anul 1990, Numar persoane, 12
Urban, Ialomita, Anul 1991, Numar persoane, 13
Urban, Ialomita, Anul 1992, Numar persoane, 10
Urban, Ialomita, Anul 1993, Numar persoane, 13
Urban, Ialomita, Anul 1994, Numar persoane, 15
Urban, Ialomita, Anul 1995, Numar persoane, 6
Urban, Ialomita, Anul 1996, Numar persoane, 13
Urban, Ialomita, Anul 1997, Numar persoane, 8
Urban, Ialomita, Anul 1998, Numar persoane, 12
Urban, Ialomita, Anul 1999, Numar persoane, 10
Urban, Ialomita, Anul 2000, Numar persoane, 7
Urban, Ialomita, Anul 2001, Numar persoane, 13
Urban, Ialomita, Anul 2002, Numar persoane, 5
Urban, Ialomita, Anul 2003, Numar persoane, 9
Urban, Ialomita, Anul 2004, Numar persoane, 13
Urban, Ialomita, Anul 2005, Numar persoane, 7
Urban, Ialomita, Anul 2006, Numar persoane, 11
Urban, Ialomita, Anul 2007, Numar persoane, 9
Urban, Ialomita, Anul 2008, Numar persoane, 7
Urban, Ialomita, Anul 2009, Numar persoane, 6
Urban, Ialomita, Anul 2010, Numar persoane, 10
Urban, Ialomita, Anul 2011, Numar persoane, 6
Urban, Ialomita, Anul 2012, Numar persoane, 10
Urban, Ialomita, Anul 2013, Numar persoane, 2
Urban, Ialomita, Anul 2014, Numar persoane, 2
Urban, Ialomita, Anul 2015, Numar persoane, 2
Urban, Ialomita, Anul 2016, Numar persoane, 14
Urban, Ialomita, Anul 2017, Numar persoane, 3
Urban, Ialomita, Anul 2018, Numar persoane, 7
Urban, Ialomita, Anul 2019, Numar persoane, 4
Urban, Ialomita, Anul 2020, Numar persoane, 6
Urban, Ialomita, Anul 2021, Numar persoane, 3
Urban, Ialomita, Anul 2022, Numar persoane, 5
Urban, Prahova, Anul 1990, Numar persoane, 32
Urban, Prahova, Anul 1991, Numar persoane, 25
Urban, Prahova, Anul 1992, Numar persoane, 33
Urban, Prahova, Anul 1993, Numar persoane, 27
Urban, Prahova, Anul 1994, Numar persoane, 23
Urban, Prahova, Anul 1995, Numar persoane, 30
Urban, Prahova, Anul 1996, Numar persoane, 18
Urban, Prahova, Anul 1997, Numar persoane, 23
Urban, Prahova, Anul 1998, Numar persoane, 26
Urban, Prahova, Anul 1999, Numar persoane, 22
Urban, Prahova, Anul 2000, Numar persoane, 26
Urban, Prahova, Anul 2001, Numar persoane, 27
Urban, Prahova, Anul 2002, Numar persoane, 34
Urban, Prahova, Anul 2003, Numar persoane, 19
Urban, Prahova, Anul 2004, Numar persoane, 29
Urban, Prahova, Anul 2005, Numar persoane, 22
Urban, Prahova, Anul 2006, Numar persoane, 22
Urban, Prahova, Anul 2007, Numar persoane, 20
Urban, Prahova, Anul 2008, Numar persoane, 13
Urban, Prahova, Anul 2009, Numar persoane, 20
Urban, Prahova, Anul 2010, Numar persoane, 16
Urban, Prahova, Anul 2011, Numar persoane, 13
Urban, Prahova, Anul 2012, Numar persoane, 14
Urban, Prahova, Anul 2013, Numar persoane, 16
Urban, Prahova, Anul 2014, Numar persoane, 17
Urban, Prahova, Anul 2015, Numar persoane, 14
Urban, Prahova, Anul 2016, Numar persoane, 17
Urban, Prahova, Anul 2017, Numar persoane, 12
Urban, Prahova, Anul 2018, Numar persoane, 12
Urban, Prahova, Anul 2019, Numar persoane, 16
Urban, Prahova, Anul 2020, Numar persoane, 8
Urban, Prahova, Anul 2021, Numar persoane, 10
Urban, Prahova, Anul 2022, Numar persoane, 10
Urban, Teleorman, Anul 1990, Numar persoane, 15
Urban, Teleorman, Anul 1991, Numar persoane, 4
Urban, Teleorman, Anul 1992, Numar persoane, 6
Urban, Teleorman, Anul 1993, Numar persoane, 11
Urban, Teleorman, Anul 1994, Numar persoane, 9
Urban, Teleorman, Anul 1995, Numar persoane, 15
Urban, Teleorman, Anul 1996, Numar persoane, 12
Urban, Teleorman, Anul 1997, Numar persoane, 10
Urban, Teleorman, Anul 1998, Numar persoane, 8
Urban, Teleorman, Anul 1999, Numar persoane, 10
Urban, Teleorman, Anul 2000, Numar persoane, 7
Urban, Teleorman, Anul 2001, Numar persoane, 9
Urban, Teleorman, Anul 2002, Numar persoane, 3
Urban, Teleorman, Anul 2003, Numar persoane, 5
Urban, Teleorman, Anul 2004, Numar persoane, 7
Urban, Teleorman, Anul 2005, Numar persoane, 6
Urban, Teleorman, Anul 2006, Numar persoane, 2
Urban, Teleorman, Anul 2007, Numar persoane, 1
Urban, Teleorman, Anul 2009, Numar persoane, 10
Urban, Teleorman, Anul 2010, Numar persoane, 2
Urban, Teleorman, Anul 2011, Numar persoane, 2
Urban, Teleorman, Anul 2012, Numar persoane, 2
Urban, Teleorman, Anul 2013, Numar persoane, 3
Urban, Teleorman, Anul 2014, Numar persoane, 2
Urban, Teleorman, Anul 2015, Numar persoane, 5
Urban, Teleorman, Anul 2016, Numar persoane, 2
Urban, Teleorman, Anul 2017, Numar persoane, 2
Urban, Teleorman, Anul 2018, Numar persoane, 1
Urban, Teleorman, Anul 2019, Numar persoane, 2
Urban, Teleorman, Anul 2020, Numar persoane, 5
Urban, Teleorman, Anul 2021, Numar persoane, 1
Urban, Teleorman, Anul 2022, Numar persoane, 2
Urban, Ilfov, Anul 1990, Numar persoane, 2
Urban, Ilfov, Anul 1991, Numar persoane, 3
Urban, Ilfov, Anul 1992, Numar persoane, 5
Urban, Ilfov, Anul 1993, Numar persoane, 1
Urban, Ilfov, Anul 1995, Numar persoane, 2
Urban, Ilfov, Anul 1997, Numar persoane, 2
Urban, Ilfov, Anul 1998, Numar persoane, 1
Urban, Ilfov, Anul 1999, Numar persoane, 1
Urban, Ilfov, Anul 2001, Numar persoane, 2
Urban, Ilfov, Anul 2002, Numar persoane, 3
Urban, Ilfov, Anul 2003, Numar persoane, 1
Urban, Ilfov, Anul 2004, Numar persoane, 1
Urban, Ilfov, Anul 2005, Numar persoane, 4
Urban, Ilfov, Anul 2006, Numar persoane, 1
Urban, Ilfov, Anul 2007, Numar persoane, 8
Urban, Ilfov, Anul 2008, Numar persoane, 10
Urban, Ilfov, Anul 2009, Numar persoane, 6
Urban, Ilfov, Anul 2010, Numar persoane, 2
Urban, Ilfov, Anul 2011, Numar persoane, 5
Urban, Ilfov, Anul 2012, Numar persoane, 8
Urban, Ilfov, Anul 2014, Numar persoane, 6
Urban, Ilfov, Anul 2015, Numar persoane, 4
Urban, Ilfov, Anul 2016, Numar persoane, 8
Urban, Ilfov, Anul 2017, Numar persoane, 5
Urban, Ilfov, Anul 2018, Numar persoane, 3
Urban, Ilfov, Anul 2019, Numar persoane, 5
Urban, Ilfov, Anul 2020, Numar persoane, 2
Urban, Ilfov, Anul 2021, Numar persoane, 3
Urban, Ilfov, Anul 2022, Numar persoane, 6
Urban, Municipiul Bucuresti, Anul 1990, Numar persoane, 163
Urban, Municipiul Bucuresti, Anul 1991, Numar persoane, 109
