Categorii de biblioteci , Judete, Localitati , Ani, UM: Numar, Valoare
Total, Galati, TOTAL, Anul 1995, Numar, 330
Total, Galati, TOTAL, Anul 1996, Numar, 340
Total, Galati, TOTAL, Anul 1997, Numar, 344
Total, Galati, TOTAL, Anul 1998, Numar, 339
Total, Galati, TOTAL, Anul 1999, Numar, 345
Total, Galati, TOTAL, Anul 2000, Numar, 338
Total, Galati, TOTAL, Anul 2001, Numar, 347
Total, Galati, TOTAL, Anul 2002, Numar, 337
Total, Galati, TOTAL, Anul 2003, Numar, 329
Total, Galati, TOTAL, Anul 2004, Numar, 295
Total, Galati, TOTAL, Anul 2005, Numar, 315
Total, Galati, TOTAL, Anul 2006, Numar, 319
Total, Galati, TOTAL, Anul 2007, Numar, 312
Total, Galati, TOTAL, Anul 2008, Numar, 308
Total, Galati, TOTAL, Anul 2009, Numar, 303
Total, Galati, TOTAL, Anul 2010, Numar, 275
Total, Galati, TOTAL, Anul 2011, Numar, 277
Total, Galati, TOTAL, Anul 2012, Numar, 273
Total, Galati, TOTAL, Anul 2013, Numar, 268
Total, Galati, TOTAL, Anul 2014, Numar, 265
Total, Galati, TOTAL, Anul 2015, Numar, 242
Total, Galati, TOTAL, Anul 2016, Numar, 227
Total, Galati, TOTAL, Anul 2017, Numar, 226
Total, Galati, TOTAL, Anul 2018, Numar, 225
Total, Galati, TOTAL, Anul 2019, Numar, 227
Total, Galati, TOTAL, Anul 2020, Numar, 224
Total, Galati, TOTAL, Anul 2021, Numar, 219
Total, Giurgiu, TOTAL, Anul 1995, Numar, 191
Total, Giurgiu, TOTAL, Anul 1996, Numar, 183
Total, Giurgiu, TOTAL, Anul 1997, Numar, 184
Total, Giurgiu, TOTAL, Anul 1998, Numar, 183
Total, Giurgiu, TOTAL, Anul 1999, Numar, 185
Total, Giurgiu, TOTAL, Anul 2000, Numar, 183
Total, Giurgiu, TOTAL, Anul 2001, Numar, 174
Total, Giurgiu, TOTAL, Anul 2002, Numar, 175
Total, Giurgiu, TOTAL, Anul 2003, Numar, 169
Total, Giurgiu, TOTAL, Anul 2004, Numar, 167
Total, Giurgiu, TOTAL, Anul 2005, Numar, 162
Total, Giurgiu, TOTAL, Anul 2006, Numar, 150
Total, Giurgiu, TOTAL, Anul 2007, Numar, 165
Total, Giurgiu, TOTAL, Anul 2008, Numar, 167
Total, Giurgiu, TOTAL, Anul 2009, Numar, 165
Total, Giurgiu, TOTAL, Anul 2010, Numar, 163
Total, Giurgiu, TOTAL, Anul 2011, Numar, 163
Total, Giurgiu, TOTAL, Anul 2012, Numar, 159
Total, Giurgiu, TOTAL, Anul 2013, Numar, 145
Total, Giurgiu, TOTAL, Anul 2014, Numar, 152
Total, Giurgiu, TOTAL, Anul 2015, Numar, 139
Total, Giurgiu, TOTAL, Anul 2016, Numar, 129
Total, Giurgiu, TOTAL, Anul 2017, Numar, 126
Total, Giurgiu, TOTAL, Anul 2018, Numar, 123
Total, Giurgiu, TOTAL, Anul 2019, Numar, 119
Total, Giurgiu, TOTAL, Anul 2020, Numar, 115
Total, Giurgiu, TOTAL, Anul 2021, Numar, 117
Total, Gorj, TOTAL, Anul 1995, Numar, 253
Total, Gorj, TOTAL, Anul 1996, Numar, 255
Total, Gorj, TOTAL, Anul 1997, Numar, 258
Total, Gorj, TOTAL, Anul 1998, Numar, 254
Total, Gorj, TOTAL, Anul 1999, Numar, 257
Total, Gorj, TOTAL, Anul 2000, Numar, 258
Total, Gorj, TOTAL, Anul 2001, Numar, 257
Total, Gorj, TOTAL, Anul 2002, Numar, 258
Total, Gorj, TOTAL, Anul 2003, Numar, 255
Total, Gorj, TOTAL, Anul 2004, Numar, 248
Total, Gorj, TOTAL, Anul 2005, Numar, 246
Total, Gorj, TOTAL, Anul 2006, Numar, 241
Total, Gorj, TOTAL, Anul 2007, Numar, 240
Total, Gorj, TOTAL, Anul 2008, Numar, 234
Total, Gorj, TOTAL, Anul 2009, Numar, 231
Total, Gorj, TOTAL, Anul 2010, Numar, 225
Total, Gorj, TOTAL, Anul 2011, Numar, 211
Total, Gorj, TOTAL, Anul 2012, Numar, 203
Total, Gorj, TOTAL, Anul 2013, Numar, 206
Total, Gorj, TOTAL, Anul 2014, Numar, 200
Total, Gorj, TOTAL, Anul 2015, Numar, 197
Total, Gorj, TOTAL, Anul 2016, Numar, 197
Total, Gorj, TOTAL, Anul 2017, Numar, 200
Total, Gorj, TOTAL, Anul 2018, Numar, 197
Total, Gorj, TOTAL, Anul 2019, Numar, 182
Total, Gorj, TOTAL, Anul 2020, Numar, 121
Total, Gorj, TOTAL, Anul 2021, Numar, 149
Total, Harghita, TOTAL, Anul 1995, Numar, 289
Total, Harghita, TOTAL, Anul 1996, Numar, 287
Total, Harghita, TOTAL, Anul 1997, Numar, 293
Total, Harghita, TOTAL, Anul 1998, Numar, 294
Total, Harghita, TOTAL, Anul 1999, Numar, 293
Total, Harghita, TOTAL, Anul 2000, Numar, 299
Total, Harghita, TOTAL, Anul 2001, Numar, 296
Total, Harghita, TOTAL, Anul 2002, Numar, 283
Total, Harghita, TOTAL, Anul 2003, Numar, 286
Total, Harghita, TOTAL, Anul 2004, Numar, 281
Total, Harghita, TOTAL, Anul 2005, Numar, 281
Total, Harghita, TOTAL, Anul 2006, Numar, 276
Total, Harghita, TOTAL, Anul 2007, Numar, 270
Total, Harghita, TOTAL, Anul 2008, Numar, 270
Total, Harghita, TOTAL, Anul 2009, Numar, 269
Total, Harghita, TOTAL, Anul 2010, Numar, 249
Total, Harghita, TOTAL, Anul 2011, Numar, 251
Total, Harghita, TOTAL, Anul 2012, Numar, 243
Total, Harghita, TOTAL, Anul 2013, Numar, 212
Total, Harghita, TOTAL, Anul 2014, Numar, 190
Total, Harghita, TOTAL, Anul 2015, Numar, 170
Total, Harghita, TOTAL, Anul 2016, Numar, 168
Total, Harghita, TOTAL, Anul 2017, Numar, 167
Total, Harghita, TOTAL, Anul 2018, Numar, 162
Total, Harghita, TOTAL, Anul 2019, Numar, 155
Total, Harghita, TOTAL, Anul 2020, Numar, 147
Total, Harghita, TOTAL, Anul 2021, Numar, 143
Total, Hunedoara, TOTAL, Anul 1995, Numar, 363
Total, Hunedoara, TOTAL, Anul 1996, Numar, 358
Total, Hunedoara, TOTAL, Anul 1997, Numar, 332
Total, Hunedoara, TOTAL, Anul 1998, Numar, 338
Total, Hunedoara, TOTAL, Anul 1999, Numar, 328
Total, Hunedoara, TOTAL, Anul 2000, Numar, 314
Total, Hunedoara, TOTAL, Anul 2001, Numar, 290
Total, Hunedoara, TOTAL, Anul 2002, Numar, 285
Total, Hunedoara, TOTAL, Anul 2003, Numar, 289
Total, Hunedoara, TOTAL, Anul 2004, Numar, 288
Total, Hunedoara, TOTAL, Anul 2005, Numar, 282
Total, Hunedoara, TOTAL, Anul 2006, Numar, 255
Total, Hunedoara, TOTAL, Anul 2007, Numar, 254
Total, Hunedoara, TOTAL, Anul 2008, Numar, 281
Total, Hunedoara, TOTAL, Anul 2009, Numar, 255
Total, Hunedoara, TOTAL, Anul 2010, Numar, 250
Total, Hunedoara, TOTAL, Anul 2011, Numar, 226
Total, Hunedoara, TOTAL, Anul 2012, Numar, 197
Total, Hunedoara, TOTAL, Anul 2013, Numar, 225
Total, Hunedoara, TOTAL, Anul 2014, Numar, 234
Total, Hunedoara, TOTAL, Anul 2015, Numar, 187
Total, Hunedoara, TOTAL, Anul 2016, Numar, 180
Total, Hunedoara, TOTAL, Anul 2017, Numar, 171
Total, Hunedoara, TOTAL, Anul 2018, Numar, 167
Total, Hunedoara, TOTAL, Anul 2019, Numar, 166
Total, Hunedoara, TOTAL, Anul 2020, Numar, 166
Total, Hunedoara, TOTAL, Anul 2021, Numar, 163
Total, Ialomita, TOTAL, Anul 1995, Numar, 170
Total, Ialomita, TOTAL, Anul 1996, Numar, 179
Total, Ialomita, TOTAL, Anul 1997, Numar, 176
Total, Ialomita, TOTAL, Anul 1998, Numar, 185
Total, Ialomita, TOTAL, Anul 1999, Numar, 184
Total, Ialomita, TOTAL, Anul 2000, Numar, 171
Total, Ialomita, TOTAL, Anul 2001, Numar, 165
Total, Ialomita, TOTAL, Anul 2002, Numar, 173
Total, Ialomita, TOTAL, Anul 2003, Numar, 166
Total, Ialomita, TOTAL, Anul 2004, Numar, 175
Total, Ialomita, TOTAL, Anul 2005, Numar, 167
Total, Ialomita, TOTAL, Anul 2006, Numar, 164
Total, Ialomita, TOTAL, Anul 2007, Numar, 170
Total, Ialomita, TOTAL, Anul 2008, Numar, 171
Total, Ialomita, TOTAL, Anul 2009, Numar, 169
Total, Ialomita, TOTAL, Anul 2010, Numar, 158
Total, Ialomita, TOTAL, Anul 2011, Numar, 157
Total, Ialomita, TOTAL, Anul 2012, Numar, 153
Total, Ialomita, TOTAL, Anul 2013, Numar, 151
Total, Ialomita, TOTAL, Anul 2014, Numar, 151
Total, Ialomita, TOTAL, Anul 2015, Numar, 138
Total, Ialomita, TOTAL, Anul 2016, Numar, 136
Total, Ialomita, TOTAL, Anul 2017, Numar, 137
Total, Ialomita, TOTAL, Anul 2018, Numar, 139
Total, Ialomita, TOTAL, Anul 2019, Numar, 139
Total, Ialomita, TOTAL, Anul 2020, Numar, 136
Total, Ialomita, TOTAL, Anul 2021, Numar, 127
Total, Iasi, TOTAL, Anul 1995, Numar, 585
Total, Iasi, TOTAL, Anul 1996, Numar, 605
Total, Iasi, TOTAL, Anul 1997, Numar, 618
Total, Iasi, TOTAL, Anul 1998, Numar, 624
Total, Iasi, TOTAL, Anul 1999, Numar, 619
Total, Iasi, TOTAL, Anul 2000, Numar, 617
Total, Iasi, TOTAL, Anul 2001, Numar, 618
Total, Iasi, TOTAL, Anul 2002, Numar, 607
Total, Iasi, TOTAL, Anul 2003, Numar, 615
Total, Iasi, TOTAL, Anul 2004, Numar, 621
Total, Iasi, TOTAL, Anul 2005, Numar, 545
Total, Iasi, TOTAL, Anul 2006, Numar, 516
Total, Iasi, TOTAL, Anul 2007, Numar, 563
Total, Iasi, TOTAL, Anul 2008, Numar, 571
Total, Iasi, TOTAL, Anul 2009, Numar, 570
Total, Iasi, TOTAL, Anul 2010, Numar, 554
Total, Iasi, TOTAL, Anul 2011, Numar, 540
Total, Iasi, TOTAL, Anul 2012, Numar, 517
Total, Iasi, TOTAL, Anul 2013, Numar, 519
Total, Iasi, TOTAL, Anul 2014, Numar, 491
Total, Iasi, TOTAL, Anul 2015, Numar, 475
Total, Iasi, TOTAL, Anul 2016, Numar, 464
Total, Iasi, TOTAL, Anul 2017, Numar, 450
Total, Iasi, TOTAL, Anul 2018, Numar, 444
Total, Iasi, TOTAL, Anul 2019, Numar, 441
Total, Iasi, TOTAL, Anul 2020, Numar, 408
Total, Iasi, TOTAL, Anul 2021, Numar, 375
Total, Ilfov, TOTAL, Anul 1995, Numar, 36
Total, Ilfov, TOTAL, Anul 1996, Numar, 107
Total, Ilfov, TOTAL, Anul 1997, Numar, 109
Total, Ilfov, TOTAL, Anul 1998, Numar, 106
Total, Ilfov, TOTAL, Anul 1999, Numar, 116
Total, Ilfov, TOTAL, Anul 2000, Numar, 108
Total, Ilfov, TOTAL, Anul 2001, Numar, 113
Total, Ilfov, TOTAL, Anul 2002, Numar, 115
Total, Ilfov, TOTAL, Anul 2003, Numar, 113
Total, Ilfov, TOTAL, Anul 2004, Numar, 99
Total, Ilfov, TOTAL, Anul 2005, Numar, 102
Total, Ilfov, TOTAL, Anul 2006, Numar, 95
Total, Ilfov, TOTAL, Anul 2007, Numar, 103
Total, Ilfov, TOTAL, Anul 2008, Numar, 105
Total, Ilfov, TOTAL, Anul 2009, Numar, 110
Total, Ilfov, TOTAL, Anul 2010, Numar, 106
Total, Ilfov, TOTAL, Anul 2011, Numar, 96
Total, Ilfov, TOTAL, Anul 2012, Numar, 95
Total, Ilfov, TOTAL, Anul 2013, Numar, 95
Total, Ilfov, TOTAL, Anul 2014, Numar, 112
Total, Ilfov, TOTAL, Anul 2015, Numar, 105
Total, Ilfov, TOTAL, Anul 2016, Numar, 100
Total, Ilfov, TOTAL, Anul 2017, Numar, 101
Total, Ilfov, TOTAL, Anul 2018, Numar, 99
Total, Ilfov, TOTAL, Anul 2019, Numar, 94
Total, Ilfov, TOTAL, Anul 2020, Numar, 93
Total, Ilfov, TOTAL, Anul 2021, Numar, 94
Total, Maramures, TOTAL, Anul 1995, Numar, 394
Total, Maramures, TOTAL, Anul 1996, Numar, 395
Total, Maramures, TOTAL, Anul 1997, Numar, 389
Total, Maramures, TOTAL, Anul 1998, Numar, 379
Total, Maramures, TOTAL, Anul 1999, Numar, 376
Total, Maramures, TOTAL, Anul 2000, Numar, 378
Total, Maramures, TOTAL, Anul 2001, Numar, 371
Total, Maramures, TOTAL, Anul 2002, Numar, 366
Total, Maramures, TOTAL, Anul 2003, Numar, 368
Total, Maramures, TOTAL, Anul 2004, Numar, 315
Total, Maramures, TOTAL, Anul 2005, Numar, 348
Total, Maramures, TOTAL, Anul 2006, Numar, 344
Total, Maramures, TOTAL, Anul 2007, Numar, 350
Total, Maramures, TOTAL, Anul 2008, Numar, 351
Total, Maramures, TOTAL, Anul 2009, Numar, 342
Total, Maramures, TOTAL, Anul 2010, Numar, 343
Total, Maramures, TOTAL, Anul 2011, Numar, 332
Total, Maramures, TOTAL, Anul 2012, Numar, 319
Total, Maramures, TOTAL, Anul 2013, Numar, 316
Total, Maramures, TOTAL, Anul 2014, Numar, 297
Total, Maramures, TOTAL, Anul 2015, Numar, 261
Total, Maramures, TOTAL, Anul 2016, Numar, 248
Total, Maramures, TOTAL, Anul 2017, Numar, 239
Total, Maramures, TOTAL, Anul 2018, Numar, 238
Total, Maramures, TOTAL, Anul 2019, Numar, 223
Total, Maramures, TOTAL, Anul 2020, Numar, 219
Total, Maramures, TOTAL, Anul 2021, Numar, 216
Total, Mehedinti, TOTAL, Anul 1995, Numar, 214
Total, Mehedinti, TOTAL, Anul 1996, Numar, 214
Total, Mehedinti, TOTAL, Anul 1997, Numar, 216
Total, Mehedinti, TOTAL, Anul 1998, Numar, 216
Total, Mehedinti, TOTAL, Anul 1999, Numar, 214
Total, Mehedinti, TOTAL, Anul 2000, Numar, 201
Total, Mehedinti, TOTAL, Anul 2001, Numar, 209
Total, Mehedinti, TOTAL, Anul 2002, Numar, 206
Total, Mehedinti, TOTAL, Anul 2003, Numar, 203
Total, Mehedinti, TOTAL, Anul 2004, Numar, 199
Total, Mehedinti, TOTAL, Anul 2005, Numar, 192
Total, Mehedinti, TOTAL, Anul 2006, Numar, 192
Total, Mehedinti, TOTAL, Anul 2007, Numar, 195
Total, Mehedinti, TOTAL, Anul 2008, Numar, 194
Total, Mehedinti, TOTAL, Anul 2009, Numar, 187
Total, Mehedinti, TOTAL, Anul 2010, Numar, 186
Total, Mehedinti, TOTAL, Anul 2011, Numar, 183
Total, Mehedinti, TOTAL, Anul 2012, Numar, 183
Total, Mehedinti, TOTAL, Anul 2013, Numar, 176
Total, Mehedinti, TOTAL, Anul 2014, Numar, 173
Total, Mehedinti, TOTAL, Anul 2015, Numar, 169
Total, Mehedinti, TOTAL, Anul 2016, Numar, 164
Total, Mehedinti, TOTAL, Anul 2017, Numar, 160
Total, Mehedinti, TOTAL, Anul 2018, Numar, 155
Total, Mehedinti, TOTAL, Anul 2019, Numar, 152
Total, Mehedinti, TOTAL, Anul 2020, Numar, 146
Total, Mehedinti, TOTAL, Anul 2021, Numar, 136
Total, Mures, TOTAL, Anul 1995, Numar, 456
Total, Mures, TOTAL, Anul 1996, Numar, 454
Total, Mures, TOTAL, Anul 1997, Numar, 459
Total, Mures, TOTAL, Anul 1998, Numar, 435
Total, Mures, TOTAL, Anul 1999, Numar, 432
Total, Mures, TOTAL, Anul 2000, Numar, 406
Total, Mures, TOTAL, Anul 2001, Numar, 429
Total, Mures, TOTAL, Anul 2002, Numar, 407
Total, Mures, TOTAL, Anul 2003, Numar, 406
Total, Mures, TOTAL, Anul 2004, Numar, 415
Total, Mures, TOTAL, Anul 2005, Numar, 413
Total, Mures, TOTAL, Anul 2006, Numar, 407
Total, Mures, TOTAL, Anul 2007, Numar, 404
Total, Mures, TOTAL, Anul 2008, Numar, 375
Total, Mures, TOTAL, Anul 2009, Numar, 388
Total, Mures, TOTAL, Anul 2010, Numar, 353
Total, Mures, TOTAL, Anul 2011, Numar, 340
Total, Mures, TOTAL, Anul 2012, Numar, 329
Total, Mures, TOTAL, Anul 2013, Numar, 319
Total, Mures, TOTAL, Anul 2014, Numar, 312
Total, Mures, TOTAL, Anul 2015, Numar, 290
Total, Mures, TOTAL, Anul 2016, Numar, 284
Total, Mures, TOTAL, Anul 2017, Numar, 275
Total, Mures, TOTAL, Anul 2018, Numar, 256
Total, Mures, TOTAL, Anul 2019, Numar, 252
Total, Mures, TOTAL, Anul 2020, Numar, 243
Total, Mures, TOTAL, Anul 2021, Numar, 241
Total, Neamt, TOTAL, Anul 1995, Numar, 358
Total, Neamt, TOTAL, Anul 1996, Numar, 365
Total, Neamt, TOTAL, Anul 1997, Numar, 368
Total, Neamt, TOTAL, Anul 1998, Numar, 379
Total, Neamt, TOTAL, Anul 1999, Numar, 374
Total, Neamt, TOTAL, Anul 2000, Numar, 374
Total, Neamt, TOTAL, Anul 2001, Numar, 369
Total, Neamt, TOTAL, Anul 2002, Numar, 372
Total, Neamt, TOTAL, Anul 2003, Numar, 359
Total, Neamt, TOTAL, Anul 2004, Numar, 325
Total, Neamt, TOTAL, Anul 2005, Numar, 323
Total, Neamt, TOTAL, Anul 2006, Numar, 301
Total, Neamt, TOTAL, Anul 2007, Numar, 333
Total, Neamt, TOTAL, Anul 2008, Numar, 333
Total, Neamt, TOTAL, Anul 2009, Numar, 329
Total, Neamt, TOTAL, Anul 2010, Numar, 318
Total, Neamt, TOTAL, Anul 2011, Numar, 318
Total, Neamt, TOTAL, Anul 2012, Numar, 319
Total, Neamt, TOTAL, Anul 2013, Numar, 321
Total, Neamt, TOTAL, Anul 2014, Numar, 316
Total, Neamt, TOTAL, Anul 2015, Numar, 301
Total, Neamt, TOTAL, Anul 2016, Numar, 300
Total, Neamt, TOTAL, Anul 2017, Numar, 290
Total, Neamt, TOTAL, Anul 2018, Numar, 281
Total, Neamt, TOTAL, Anul 2019, Numar, 277
Total, Neamt, TOTAL, Anul 2020, Numar, 262
Total, Neamt, TOTAL, Anul 2021, Numar, 251
Total, Olt, TOTAL, Anul 1995, Numar, 365
Total, Olt, TOTAL, Anul 1996, Numar, 395
Total, Olt, TOTAL, Anul 1997, Numar, 394
Total, Olt, TOTAL, Anul 1998, Numar, 399
Total, Olt, TOTAL, Anul 1999, Numar, 353
Total, Olt, TOTAL, Anul 2000, Numar, 318
Total, Olt, TOTAL, Anul 2001, Numar, 314
Total, Olt, TOTAL, Anul 2002, Numar, 316
Total, Olt, TOTAL, Anul 2003, Numar, 317
Total, Olt, TOTAL, Anul 2004, Numar, 311
Total, Olt, TOTAL, Anul 2005, Numar, 301
Total, Olt, TOTAL, Anul 2006, Numar, 316
Total, Olt, TOTAL, Anul 2007, Numar, 317
Total, Olt, TOTAL, Anul 2008, Numar, 319
Total, Olt, TOTAL, Anul 2009, Numar, 310
Total, Olt, TOTAL, Anul 2010, Numar, 316
Total, Olt, TOTAL, Anul 2011, Numar, 306
Total, Olt, TOTAL, Anul 2012, Numar, 288
Total, Olt, TOTAL, Anul 2013, Numar, 303
Total, Olt, TOTAL, Anul 2014, Numar, 291
Total, Olt, TOTAL, Anul 2015, Numar, 271
Total, Olt, TOTAL, Anul 2016, Numar, 265
Total, Olt, TOTAL, Anul 2017, Numar, 262
Total, Olt, TOTAL, Anul 2018, Numar, 256
Total, Olt, TOTAL, Anul 2019, Numar, 249
Total, Olt, TOTAL, Anul 2020, Numar, 239
Total, Olt, TOTAL, Anul 2021, Numar, 223
Total, Prahova, TOTAL, Anul 1995, Numar, 401
Total, Prahova, TOTAL, Anul 1996, Numar, 420
Total, Prahova, TOTAL, Anul 1997, Numar, 402
Total, Prahova, TOTAL, Anul 1998, Numar, 429
Total, Prahova, TOTAL, Anul 1999, Numar, 428
Total, Prahova, TOTAL, Anul 2000, Numar, 429
Total, Prahova, TOTAL, Anul 2001, Numar, 427
Total, Prahova, TOTAL, Anul 2002, Numar, 424
Total, Prahova, TOTAL, Anul 2003, Numar, 421
Total, Prahova, TOTAL, Anul 2004, Numar, 427
Total, Prahova, TOTAL, Anul 2005, Numar, 430
Total, Prahova, TOTAL, Anul 2006, Numar, 423
Total, Prahova, TOTAL, Anul 2007, Numar, 416
Total, Prahova, TOTAL, Anul 2008, Numar, 416
Total, Prahova, TOTAL, Anul 2009, Numar, 405
Total, Prahova, TOTAL, Anul 2010, Numar, 405
Total, Prahova, TOTAL, Anul 2011, Numar, 396
Total, Prahova, TOTAL, Anul 2012, Numar, 386
Total, Prahova, TOTAL, Anul 2013, Numar, 381
Total, Prahova, TOTAL, Anul 2014, Numar, 379
Total, Prahova, TOTAL, Anul 2015, Numar, 364
Total, Prahova, TOTAL, Anul 2016, Numar, 361
Total, Prahova, TOTAL, Anul 2017, Numar, 348
Total, Prahova, TOTAL, Anul 2018, Numar, 345
Total, Prahova, TOTAL, Anul 2019, Numar, 339
Total, Prahova, TOTAL, Anul 2020, Numar, 336
Total, Prahova, TOTAL, Anul 2021, Numar, 299
Total, Satu Mare, TOTAL, Anul 1995, Numar, 266
Total, Satu Mare, TOTAL, Anul 1996, Numar, 267
Total, Satu Mare, TOTAL, Anul 1997, Numar, 284
Total, Satu Mare, TOTAL, Anul 1998, Numar, 275
Total, Satu Mare, TOTAL, Anul 1999, Numar, 253
Total, Satu Mare, TOTAL, Anul 2000, Numar, 270
Total, Satu Mare, TOTAL, Anul 2001, Numar, 256
Total, Satu Mare, TOTAL, Anul 2002, Numar, 239
Total, Satu Mare, TOTAL, Anul 2003, Numar, 241
Total, Satu Mare, TOTAL, Anul 2004, Numar, 250
Total, Satu Mare, TOTAL, Anul 2005, Numar, 233
Total, Satu Mare, TOTAL, Anul 2006, Numar, 192
Total, Satu Mare, TOTAL, Anul 2007, Numar, 229
Total, Satu Mare, TOTAL, Anul 2008, Numar, 224
Total, Satu Mare, TOTAL, Anul 2009, Numar, 223
Total, Satu Mare, TOTAL, Anul 2010, Numar, 219
Total, Satu Mare, TOTAL, Anul 2011, Numar, 217
Total, Satu Mare, TOTAL, Anul 2012, Numar, 197
Total, Satu Mare, TOTAL, Anul 2013, Numar, 204
Total, Satu Mare, TOTAL, Anul 2014, Numar, 204
Total, Satu Mare, TOTAL, Anul 2015, Numar, 192
Total, Satu Mare, TOTAL, Anul 2016, Numar, 190
Total, Satu Mare, TOTAL, Anul 2017, Numar, 187
Total, Satu Mare, TOTAL, Anul 2018, Numar, 185
Total, Satu Mare, TOTAL, Anul 2019, Numar, 174
Total, Satu Mare, TOTAL, Anul 2020, Numar, 171
Total, Satu Mare, TOTAL, Anul 2021, Numar, 165
Total, Salaj, TOTAL, Anul 1995, Numar, 240
Total, Salaj, TOTAL, Anul 1996, Numar, 240
Total, Salaj, TOTAL, Anul 1997, Numar, 253
Total, Salaj, TOTAL, Anul 1998, Numar, 249
Total, Salaj, TOTAL, Anul 1999, Numar, 243
Total, Salaj, TOTAL, Anul 2000, Numar, 242
Total, Salaj, TOTAL, Anul 2001, Numar, 237
Total, Salaj, TOTAL, Anul 2002, Numar, 233
Total, Salaj, TOTAL, Anul 2003, Numar, 235
Total, Salaj, TOTAL, Anul 2004, Numar, 202
Total, Salaj, TOTAL, Anul 2005, Numar, 231
Total, Salaj, TOTAL, Anul 2006, Numar, 231
Total, Salaj, TOTAL, Anul 2007, Numar, 222
Total, Salaj, TOTAL, Anul 2008, Numar, 226
Total, Salaj, TOTAL, Anul 2009, Numar, 227
Total, Salaj, TOTAL, Anul 2010, Numar, 224
Total, Salaj, TOTAL, Anul 2011, Numar, 221
Total, Salaj, TOTAL, Anul 2012, Numar, 218
Total, Salaj, TOTAL, Anul 2013, Numar, 216
Total, Salaj, TOTAL, Anul 2014, Numar, 208
Total, Salaj, TOTAL, Anul 2015, Numar, 195
Total, Salaj, TOTAL, Anul 2016, Numar, 186
Total, Salaj, TOTAL, Anul 2017, Numar, 176
Total, Salaj, TOTAL, Anul 2018, Numar, 175
Total, Salaj, TOTAL, Anul 2019, Numar, 168
Total, Salaj, TOTAL, Anul 2020, Numar, 160
Total, Salaj, TOTAL, Anul 2021, Numar, 154
Total, Sibiu, TOTAL, Anul 1995, Numar, 314
Total, Sibiu, TOTAL, Anul 1996, Numar, 324
Total, Sibiu, TOTAL, Anul 1997, Numar, 325
Total, Sibiu, TOTAL, Anul 1998, Numar, 304
Total, Sibiu, TOTAL, Anul 1999, Numar, 304
Total, Sibiu, TOTAL, Anul 2000, Numar, 301
Total, Sibiu, TOTAL, Anul 2001, Numar, 301
Total, Sibiu, TOTAL, Anul 2002, Numar, 291
Total, Sibiu, TOTAL, Anul 2003, Numar, 287
Total, Sibiu, TOTAL, Anul 2004, Numar, 260
Total, Sibiu, TOTAL, Anul 2005, Numar, 255
Total, Sibiu, TOTAL, Anul 2006, Numar, 217
Total, Sibiu, TOTAL, Anul 2007, Numar, 219
Total, Sibiu, TOTAL, Anul 2008, Numar, 217
Total, Sibiu, TOTAL, Anul 2009, Numar, 233
Total, Sibiu, TOTAL, Anul 2010, Numar, 222
Total, Sibiu, TOTAL, Anul 2011, Numar, 233
Total, Sibiu, TOTAL, Anul 2012, Numar, 222
Total, Sibiu, TOTAL, Anul 2013, Numar, 202
Total, Sibiu, TOTAL, Anul 2014, Numar, 199
Total, Sibiu, TOTAL, Anul 2015, Numar, 198
Total, Sibiu, TOTAL, Anul 2016, Numar, 195
Total, Sibiu, TOTAL, Anul 2017, Numar, 191
Total, Sibiu, TOTAL, Anul 2018, Numar, 190
Total, Sibiu, TOTAL, Anul 2019, Numar, 188
Total, Sibiu, TOTAL, Anul 2020, Numar, 181
Total, Sibiu, TOTAL, Anul 2021, Numar, 171
Total, Suceava, TOTAL, Anul 1995, Numar, 574
Total, Suceava, TOTAL, Anul 1996, Numar, 559
Total, Suceava, TOTAL, Anul 1997, Numar, 564
Total, Suceava, TOTAL, Anul 1998, Numar, 557
Total, Suceava, TOTAL, Anul 1999, Numar, 562
Total, Suceava, TOTAL, Anul 2000, Numar, 556
Total, Suceava, TOTAL, Anul 2001, Numar, 498
Total, Suceava, TOTAL, Anul 2002, Numar, 497
Total, Suceava, TOTAL, Anul 2003, Numar, 476
Total, Suceava, TOTAL, Anul 2004, Numar, 425
Total, Suceava, TOTAL, Anul 2005, Numar, 428
Total, Suceava, TOTAL, Anul 2006, Numar, 332
Total, Suceava, TOTAL, Anul 2007, Numar, 333
Total, Suceava, TOTAL, Anul 2008, Numar, 339
Total, Suceava, TOTAL, Anul 2009, Numar, 332
Total, Suceava, TOTAL, Anul 2010, Numar, 330
Total, Suceava, TOTAL, Anul 2011, Numar, 326
Total, Suceava, TOTAL, Anul 2012, Numar, 331
Total, Suceava, TOTAL, Anul 2013, Numar, 330
Total, Suceava, TOTAL, Anul 2014, Numar, 331
Total, Suceava, TOTAL, Anul 2015, Numar, 307
Total, Suceava, TOTAL, Anul 2016, Numar, 311
Total, Suceava, TOTAL, Anul 2017, Numar, 305
Total, Suceava, TOTAL, Anul 2018, Numar, 302
Total, Suceava, TOTAL, Anul 2019, Numar, 299
Total, Suceava, TOTAL, Anul 2020, Numar, 299
Total, Suceava, TOTAL, Anul 2021, Numar, 296
Total, Teleorman, TOTAL, Anul 1995, Numar, 292
Total, Teleorman, TOTAL, Anul 1996, Numar, 298
Total, Teleorman, TOTAL, Anul 1997, Numar, 310
Total, Teleorman, TOTAL, Anul 1998, Numar, 290
