YEARS,COUNTIES,EMIGRANTS,BORN_URBAN,BORN_RURAL,DEAD_URBAN,DEAD_RURAL,DIVORCES_URBAN,DIVORCES_RURAL,UNEMPLOYMENT_RATE_MALE,UNEMPLOYMENT_RATE_FEMALE,EDUCATIONAL_UNITS,TEACHING_STAFF,CONFLICTS_OF_INTEREST,HOSPITALS
 Anul 2008, Arad,226.0,2512.0,1992.0,18.0,10.0,585.0,207.0,2.9,3.3,181,5559.0,1.0,12.0
 Anul 2009, Arad,251.0,2555.0,1927.0,9.0,9.0,469.0,188.0,7.1,6.5,178,5290.0,0.0,14.0
 Anul 2010, Arad,206.0,2385.0,1870.0,19.0,16.0,459.0,145.0,5.5,4.9,163,5040.0,1.0,14.0
 Anul 2011, Arad,366.0,2204.0,1785.0,18.0,18.0,537.0,196.0,3.6,3.3,130,4747.0,0.0,10.0
 Anul 2012, Arad,461.0,2319.0,1820.0,5.0,16.0,607.0,231.0,3.8,3.5,176,5174.0,1.0,11.0
 Anul 2013, Arad,373.0,2444.0,1851.0,12.0,10.0,522.0,202.0,3.2,3.2,166,5244.0,0.0,11.0
 Anul 2014, Arad,286.0,2295.0,1870.0,17.0,14.0,369.0,163.0,2.8,2.8,163,5210.0,1.0,10.0
 Anul 2015, Arad,378.0,2423.0,1838.0,14.0,12.0,382.0,163.0,2.2,2.6,165,4981.0,0.0,11.0
 Anul 2016, Arad,561.0,2420.0,1999.0,10.0,10.0,328.0,169.0,2.3,2.3,156,4902.0,0.0,11.0
 Anul 2017, Arad,552.0,2570.0,1867.0,13.0,5.0,437.0,262.0,1.5,1.6,156,4920.0,1.0,11.0
 Anul 2018, Arad,590.0,2483.0,1991.0,11.0,15.0,410.0,271.0,1.2,1.5,156,4909.0,0.0,11.0
 Anul 2019, Arad,558.0,2526.0,2061.0,8.0,6.0,290.0,199.0,1.1,1.4,156,4836.0,1.0,11.0
 Anul 2020, Arad,557.0,2314.0,1927.0,11.0,9.0,289.0,189.0,1.7,2.7,154,4850.0,0.0,12.0
 Anul 2021, Arad,788.0,2199.0,1803.0,12.0,12.0,209.0,152.0,1.3,1.9,158,4901.0,0.0,12.0
 Anul 1992, Arges,116.0,3362.0,4660.0,18.0,22.0,671.0,298.0,3.9,9.2,1067,9175.0,0.0,16.0
 Anul 1993, Arges,94.0,3288.0,4347.0,12.0,13.0,609.0,289.0,6.2,11.8,1063,9055.0,2.0,16.0
 Anul 1994, Arges,140.0,3197.0,4151.0,15.0,25.0,932.0,430.0,7.6,11.8,1065,9224.0,4.0,14.0
 Anul 1995, Arges,313.0,3059.0,4013.0,11.0,21.0,489.0,290.0,6.5,8.3,1075,9524.0,7.0,14.0
 Anul 1996, Arges,251.0,2962.0,3892.0,17.0,26.0,680.0,364.0,4.5,5.3,1079,9657.0,10.0,15.0
 Anul 1997, Arges,262.0,2888.0,3930.0,15.0,33.0,532.0,357.0,4.7,6.1,1082,9372.0,6.0,15.0
 Anul 1998, Arges,222.0,2900.0,3939.0,26.0,25.0,869.0,470.0,7.3,8.0,1083,9678.0,11.0,15.0
 Anul 1999, Arges,185.0,2858.0,3908.0,19.0,27.0,508.0,356.0,10.7,10.0,1012,9317.0,28.0,15.0
 Anul 2000, Arges,201.0,2806.0,3751.0,8.0,21.0,447.0,310.0,7.2,6.8,1002,9292.0,6.0,16.0
 Anul 2001, Arges,147.0,2595.0,3563.0,11.0,27.0,690.0,366.0,6.8,5.9,1000,9340.0,6.0,17.0
 Anul 2002, Arges,99.0,2529.0,3390.0,21.0,27.0,628.0,306.0,6.8,6.4,1001,8945.0,3.0,17.0
 Anul 2003, Arges,79.0,2592.0,3428.0,17.0,21.0,560.0,324.0,6.6,5.8,353,8720.0,3.0,17.0
 Anul 2004, Arges,99.0,2828.0,3261.0,10.0,27.0,713.0,358.0,6.9,6.6,353,8949.0,1.0,17.0
 Anul 2005, Arges,85.0,2883.0,3176.0,17.0,22.0,667.0,354.0,5.3,5.0,353,8670.0,4.0,17.0
 Anul 2006, Arges,117.0,2956.0,3077.0,17.0,32.0,782.0,339.0,6.7,5.3,228,8410.0,4.0,17.0
 Anul 2007, Arges,97.0,2987.0,2897.0,18.0,13.0,749.0,329.0,4.9,4.6,226,8373.0,6.0,19.0
 Anul 2008, Arges,112.0,2763.0,3034.0,16.0,17.0,641.0,307.0,4.7,5.1,226,8275.0,6.0,19.0
 Anul 2009, Arges,148.0,2925.0,3134.0,11.0,22.0,526.0,340.0,10.1,8.8,222,8230.0,5.0,19.0
 Anul 2010, Arges,141.0,2910.0,3001.0,8.0,13.0,827.0,408.0,8.0,7.0,208,7804.0,4.0,20.0
 Anul 2011, Arges,194.0,2549.0,2810.0,14.0,16.0,908.0,424.0,6.1,5.2,202,7345.0,0.0,17.0
 Anul 2012, Arges,214.0,2623.0,2758.0,10.0,15.0,696.0,330.0,6.6,5.6,203,7230.0,2.0,17.0
 Anul 2013, Arges,208.0,2616.0,2755.0,9.0,22.0,617.0,340.0,7.5,6.4,206,7144.0,1.0,20.0
