YEARS,COUNTIES,EMIGRANTS,BORN_URBAN,BORN_RURAL,DEAD_URBAN,DEAD_RURAL,DIVORCES_URBAN,DIVORCES_RURAL,UNEMPLOYMENT_RATE_MALE,UNEMPLOYMENT_RATE_FEMALE,EDUCATIONAL_UNITS,TEACHING_STAFF,CONFLICTS_OF_INTEREST,HOSPITALS
 Anul 2008, Botosani,125.0,2048.0,3084.0,10.0,16.0,428.0,324.0,4.0,3.1,170,5337.0,0.0,10.0
 Anul 2009, Botosani,135.0,2038.0,2854.0,5.0,14.0,388.0,323.0,9.0,5.3,147,5222.0,0.0,10.0
 Anul 2010, Botosani,117.0,1788.0,2619.0,8.0,7.0,436.0,359.0,8.0,4.8,145,4999.0,1.0,10.0
 Anul 2011, Botosani,235.0,1629.0,2452.0,9.0,8.0,375.0,292.0,4.6,3.5,127,4858.0,0.0,7.0
 Anul 2012, Botosani,239.0,1807.0,2634.0,7.0,13.0,281.0,221.0,5.5,3.4,127,4744.0,0.0,4.0
 Anul 2013, Botosani,270.0,1950.0,2757.0,9.0,11.0,317.0,170.0,6.6,4.0,129,4903.0,0.0,4.0
 Anul 2014, Botosani,186.0,1706.0,2584.0,4.0,13.0,432.0,315.0,6.1,3.8,132,4791.0,1.0,4.0
 Anul 2015, Botosani,277.0,1845.0,2479.0,6.0,14.0,507.0,416.0,5.8,4.0,132,4644.0,1.0,4.0
 Anul 2016, Botosani,378.0,1824.0,2395.0,5.0,10.0,376.0,253.0,6.9,4.5,132,4629.0,1.0,4.0
 Anul 2017, Botosani,385.0,1782.0,2517.0,8.0,12.0,501.0,356.0,4.1,3.1,132,4640.0,2.0,4.0
 Anul 2018, Botosani,432.0,1786.0,2563.0,5.0,8.0,353.0,309.0,3.6,2.6,133,4665.0,0.0,4.0
 Anul 2019, Botosani,474.0,1871.0,2609.0,5.0,8.0,359.0,307.0,2.8,2.4,134,4614.0,0.0,4.0
 Anul 2020, Botosani,366.0,1591.0,2477.0,6.0,10.0,197.0,192.0,2.9,2.9,132,4723.0,0.0,4.0
 Anul 2021, Botosani,638.0,1507.0,2638.0,4.0,7.0,236.0,365.0,2.7,2.5,131,4594.0,0.0,4.0
 Anul 1992, Brasov,1993.0,4422.0,1831.0,25.0,12.0,751.0,101.0,3.0,7.4,550,8340.0,7.0,13.0
 Anul 1993, Brasov,1231.0,4055.0,1843.0,13.0,13.0,932.0,65.0,4.4,9.4,566,8420.0,7.0,13.0
 Anul 1994, Brasov,1037.0,3702.0,1843.0,29.0,10.0,758.0,135.0,5.5,9.5,551,8571.0,10.0,13.0
 Anul 1995, Brasov,1521.0,3602.0,1835.0,16.0,10.0,1147.0,178.0,5.5,8.0,568,8837.0,15.0,13.0
 Anul 1996, Brasov,1171.0,3588.0,1806.0,22.0,6.0,1077.0,169.0,3.7,4.7,582,9146.0,8.0,13.0
 Anul 1997, Brasov,1304.0,3752.0,1983.0,16.0,16.0,1219.0,192.0,6.8,9.7,561,9428.0,7.0,14.0
 Anul 1998, Brasov,905.0,3682.0,1926.0,17.0,15.0,1091.0,197.0,7.1,10.5,579,9244.0,10.0,14.0
 Anul 1999, Brasov,703.0,3674.0,1953.0,21.0,5.0,1128.0,149.0,9.4,13.1,501,8798.0,23.0,14.0
 Anul 2000, Brasov,974.0,3697.0,2010.0,18.0,12.0,968.0,129.0,9.7,13.2,492,8533.0,4.0,15.0
 Anul 2001, Brasov,637.0,3593.0,2041.0,13.0,8.0,922.0,125.0,7.5,11.9,482,8633.0,0.0,15.0
 Anul 2002, Brasov,517.0,3538.0,1877.0,16.0,6.0,878.0,99.0,10.5,13.5,485,8301.0,0.0,15.0
 Anul 2003, Brasov,640.0,3745.0,2053.0,22.0,11.0,897.0,116.0,10.1,11.1,465,8010.0,4.0,14.0
 Anul 2004, Brasov,754.0,3775.0,2006.0,18.0,15.0,736.0,122.0,10.9,10.4,459,8195.0,1.0,14.0
 Anul 2005, Brasov,667.0,4028.0,1921.0,12.0,6.0,942.0,133.0,8.6,8.9,384,7513.0,1.0,14.0
 Anul 2006, Brasov,831.0,4117.0,1938.0,12.0,12.0,806.0,153.0,6.4,5.8,247,7585.0,3.0,14.0
 Anul 2007, Brasov,557.0,4033.0,1922.0,17.0,8.0,1453.0,177.0,5.1,5.0,246,7637.0,2.0,14.0
 Anul 2008, Brasov,502.0,4525.0,2148.0,11.0,11.0,759.0,131.0,3.9,4.7,258,7625.0,2.0,17.0
 Anul 2009, Brasov,580.0,4458.0,2207.0,16.0,3.0,1476.0,181.0,8.5,9.0,256,7379.0,1.0,19.0
 Anul 2010, Brasov,374.0,4385.0,2145.0,7.0,10.0,770.0,133.0,7.3,7.1,239,6551.0,3.0,17.0
 Anul 2011, Brasov,555.0,4081.0,2085.0,6.0,8.0,1216.0,180.0,5.1,5.1,243,6443.0,1.0,17.0
 Anul 2012, Brasov,474.0,4003.0,2147.0,7.0,6.0,796.0,149.0,4.8,5.0,217,6404.0,1.0,17.0
 Anul 2013, Brasov,550.0,4471.0,2233.0,8.0,7.0,909.0,166.0,4.7,4.6,202,6661.0,0.0,20.0
 Anul 2014, Brasov,421.0,4181.0,2234.0,11.0,6.0,936.0,188.0,4.5,4.1,211,6637.0,1.0,23.0
 Anul 2015, Brasov,641.0,4231.0,2195.0,2.0,7.0,918.0,165.0,3.8,3.8,211,6332.0,3.0,25.0
 Anul 2016, Brasov,934.0,4322.0,2324.0,6.0,7.0,836.0,188.0,3.6,3.4,204,6469.0,0.0,25.0
 Anul 2017, Brasov,1000.0,4391.0,2345.0,5.0,7.0,937.0,151.0,2.9,2.8,196,6650.0,0.0,26.0
 Anul 2018, Brasov,1126.0,4327.0,2406.0,6.0,3.0,963.0,165.0,2.1,2.4,189,6622.0,2.0,25.0
 Anul 2019, Brasov,1030.0,4197.0,2493.0,3.0,9.0,938.0,166.0,1.9,2.1,186,6687.0,2.0,25.0
 Anul 2020, Brasov,722.0,3885.0,2494.0,9.0,5.0,689.0,183.0,2.4,2.8,186,6725.0,0.0,24.0
 Anul 2021, Brasov,1135.0,3740.0,2481.0,8.0,7.0,771.0,226.0,1.9,2.2,191,6859.0,0.0,24.0
 Anul 1992, Braila,67.0,2319.0,1471.0,10.0,2.0,628.0,76.0,9.7,15.9,398,4283.0,2.0,5.0
 Anul 1993, Braila,43.0,2285.0,1516.0,9.0,4.0,709.0,106.0,8.3,14.2,407,4298.0,7.0,5.0
 Anul 1994, Braila,61.0,2160.0,1456.0,5.0,3.0,783.0,110.0,7.1,13.4,414,4472.0,11.0,5.0
 Anul 1995, Braila,121.0,2172.0,1434.0,9.0,2.0,677.0,78.0,7.2,15.0,418,4664.0,6.0,5.0
 Anul 1996, Braila,110.0,2043.0,1405.0,4.0,0.0,632.0,101.0,7.1,9.4,421,4783.0,3.0,5.0
 Anul 1997, Braila,108.0,2051.0,1497.0,5.0,3.0,642.0,95.0,14.4,12.4,419,4698.0,4.0,5.0
 Anul 1998, Braila,92.0,2060.0,1513.0,3.0,2.0,718.0,108.0,20.1,14.0,421,4686.0,3.0,5.0
 Anul 1999, Braila,66.0,1995.0,1505.0,3.0,3.0,588.0,70.0,20.4,15.4,389,4323.0,5.0,8.0
 Anul 2000, Braila,137.0,2058.0,1535.0,3.0,0.0,594.0,101.0,19.2,11.9,360,4223.0,2.0,7.0
 Anul 2001, Braila,82.0,2027.0,1387.0,3.0,2.0,585.0,81.0,14.1,9.0,356,4291.0,1.0,7.0
 Anul 2002, Braila,55.0,1850.0,1302.0,0.0,0.0,655.0,129.0,12.3,7.5,354,4031.0,3.0,6.0
 Anul 2003, Braila,77.0,1944.0,1419.0,12.0,8.0,580.0,106.0,10.3,6.6,354,4039.0,2.0,5.0
 Anul 2004, Braila,88.0,2054.0,1327.0,15.0,9.0,629.0,120.0,10.9,6.3,199,4004.0,2.0,5.0
 Anul 2005, Braila,88.0,2134.0,1269.0,7.0,7.0,687.0,140.0,8.6,4.8,138,3863.0,0.0,5.0
 Anul 2006, Braila,113.0,1944.0,1235.0,10.0,7.0,706.0,123.0,7.1,3.7,137,3652.0,1.0,5.0
 Anul 2007, Braila,93.0,1804.0,1231.0,6.0,6.0,656.0,143.0,4.8,2.8,139,3696.0,1.0,5.0
 Anul 2008, Braila,94.0,1796.0,1257.0,10.0,5.0,724.0,164.0,5.0,3.5,137,3668.0,2.0,5.0
 Anul 2009, Braila,135.0,1963.0,1184.0,6.0,1.0,562.0,171.0,9.4,6.5,140,3616.0,1.0,5.0
 Anul 2010, Braila,92.0,1752.0,1188.0,7.0,8.0,530.0,134.0,10.2,7.0,137,3499.0,1.0,5.0
 Anul 2011, Braila,183.0,1558.0,1031.0,4.0,1.0,695.0,169.0,6.6,4.8,125,3328.0,0.0,4.0
 Anul 2012, Braila,211.0,1562.0,1045.0,9.0,3.0,573.0,132.0,7.6,5.2,116,3268.0,1.0,4.0
 Anul 2013, Braila,218.0,1581.0,1090.0,9.0,4.0,596.0,112.0,8.4,5.4,111,3289.0,0.0,5.0
 Anul 2014, Braila,167.0,1443.0,995.0,6.0,5.0,572.0,131.0,8.7,5.8,111,3219.0,1.0,5.0
 Anul 2015, Braila,210.0,1477.0,1000.0,3.0,3.0,588.0,138.0,8.4,5.8,111,3127.0,1.0,5.0
 Anul 2016, Braila,334.0,1543.0,1103.0,6.0,8.0,561.0,119.0,8.0,5.6,110,3111.0,1.0,5.0
 Anul 2017, Braila,370.0,1537.0,1004.0,7.0,5.0,514.0,140.0,5.7,4.1,107,3113.0,0.0,5.0
 Anul 2018, Braila,420.0,1613.0,1005.0,9.0,9.0,515.0,146.0,4.3,3.6,106,2983.0,1.0,5.0
 Anul 2019, Braila,401.0,1580.0,989.0,5.0,3.0,462.0,157.0,3.9,3.2,106,2912.0,0.0,5.0
 Anul 2020, Braila,344.0,1349.0,982.0,3.0,0.0,320.0,108.0,4.5,4.1,104,2986.0,0.0,5.0
 Anul 2021, Braila,498.0,1297.0,1029.0,2.0,3.0,320.0,150.0,3.6,3.1,101,3020.0,0.0,5.0
 Anul 1992, Buzau,57.0,2131.0,3829.0,15.0,19.0,224.0,145.0,9.0,17.7,789,5799.0,2.0,9.0
 Anul 1993, Buzau,77.0,1965.0,3681.0,13.0,24.0,263.0,162.0,11.6,18.2,803,5663.0,10.0,9.0
 Anul 1994, Buzau,89.0,2054.0,3681.0,17.0,30.0,260.0,196.0,14.2,16.4,823,5957.0,11.0,8.0
 Anul 1995, Buzau,80.0,2010.0,3560.0,9.0,21.0,371.0,265.0,13.3,13.6,846,6325.0,7.0,8.0
 Anul 1996, Buzau,123.0,1860.0,3290.0,12.0,12.0,460.0,368.0,8.3,6.9,862,6440.0,10.0,8.0
 Anul 1997, Buzau,117.0,1883.0,3339.0,9.0,24.0,398.0,321.0,9.7,9.3,850,6484.0,2.0,8.0
 Anul 1998, Buzau,133.0,1873.0,3216.0,11.0,29.0,492.0,405.0,13.9,11.2,852,6629.0,11.0,8.0
 Anul 1999, Buzau,80.0,1973.0,3286.0,11.0,22.0,412.0,280.0,15.6,12.1,810,6265.0,15.0,8.0
 Anul 2000, Buzau,99.0,1895.0,3257.0,8.0,21.0,411.0,295.0,14.1,11.2,767,6014.0,5.0,8.0
 Anul 2001, Buzau,92.0,1756.0,2993.0,9.0,18.0,428.0,321.0,13.6,10.6,764,6117.0,1.0,8.0
 Anul 2002, Buzau,73.0,1774.0,2828.0,8.0,20.0,395.0,303.0,11.1,7.5,762,5590.0,1.0,7.0
 Anul 2003, Buzau,70.0,1782.0,2944.0,8.0,16.0,417.0,319.0,8.2,6.6,759,5639.0,2.0,6.0
 Anul 2004, Buzau,79.0,1942.0,2768.0,7.0,21.0,456.0,329.0,7.4,5.9,749,5742.0,3.0,6.0
 Anul 2005, Buzau,89.0,2043.0,2692.0,10.0,22.0,418.0,308.0,8.4,6.4,725,5622.0,1.0,6.0
 Anul 2006, Buzau,94.0,2124.0,2712.0,6.0,19.0,461.0,360.0,8.6,6.3,198,5553.0,2.0,6.0
 Anul 2007, Buzau,97.0,2004.0,2720.0,10.0,10.0,481.0,392.0,5.8,5.1,201,5540.0,1.0,7.0
 Anul 2008, Buzau,83.0,2042.0,2618.0,4.0,12.0,451.0,374.0,5.8,5.6,203,5450.0,1.0,8.0
 Anul 2009, Buzau,89.0,1834.0,2623.0,5.0,8.0,459.0,322.0,10.2,8.4,198,5265.0,2.0,8.0
 Anul 2010, Buzau,82.0,1819.0,2487.0,4.0,10.0,446.0,378.0,11.0,8.1,165,4872.0,1.0,9.0
 Anul 2011, Buzau,157.0,1553.0,2291.0,8.0,15.0,420.0,326.0,9.1,6.7,159,4910.0,0.0,7.0
 Anul 2012, Buzau,133.0,1587.0,2205.0,4.0,16.0,233.0,257.0,9.4,6.3,157,4854.0,0.0,7.0
 Anul 2013, Buzau,243.0,1656.0,2165.0,5.0,14.0,298.0,258.0,10.2,6.8,157,4867.0,0.0,7.0
 Anul 2014, Buzau,134.0,1598.0,2226.0,5.0,8.0,282.0,244.0,11.5,7.6,155,4702.0,0.0,7.0
 Anul 2015, Buzau,177.0,1528.0,2160.0,4.0,6.0,325.0,303.0,11.5,8.2,151,4604.0,0.0,7.0
 Anul 2016, Buzau,312.0,1696.0,2207.0,6.0,5.0,321.0,335.0,11.1,8.3,148,4590.0,0.0,7.0
 Anul 2017, Buzau,297.0,1578.0,2225.0,3.0,9.0,292.0,309.0,9.9,7.2,148,4599.0,1.0,7.0
 Anul 2018, Buzau,343.0,1558.0,2189.0,6.0,14.0,238.0,277.0,8.2,6.2,149,4418.0,0.0,8.0
 Anul 2019, Buzau,361.0,1592.0,2273.0,7.0,7.0,264.0,283.0,7.3,5.8,148,4364.0,0.0,8.0
 Anul 2020, Buzau,274.0,1339.0,2181.0,8.0,11.0,182.0,198.0,8.6,7.0,150,4357.0,0.0,8.0
 Anul 2021, Buzau,418.0,1344.0,2158.0,1.0,7.0,262.0,231.0,6.0,5.3,148,4274.0,0.0,9.0
 Anul 1992, Caras-Severin,1154.0,2162.0,1635.0,17.0,6.0,503.0,178.0,7.2,16.6,608,4540.0,9.0,8.0
 Anul 1993, Caras-Severin,748.0,2144.0,1559.0,9.0,1.0,454.0,163.0,8.6,18.0,603,4607.0,2.0,8.0
 Anul 1994, Caras-Severin,715.0,2093.0,1488.0,12.0,3.0,524.0,210.0,7.7,13.3,598,4547.0,6.0,8.0
 Anul 1995, Caras-Severin,1068.0,2006.0,1435.0,10.0,6.0,524.0,173.0,7.2,13.4,602,4474.0,5.0,8.0
 Anul 1996, Caras-Severin,857.0,1972.0,1341.0,8.0,6.0,405.0,166.0,5.5,10.4,628,4734.0,1.0,8.0
 Anul 1997, Caras-Severin,751.0,1980.0,1376.0,11.0,6.0,430.0,182.0,11.2,10.5,613,4521.0,1.0,8.0
 Anul 1998, Caras-Severin,433.0,2008.0,1397.0,11.0,6.0,539.0,211.0,10.8,9.4,610,4630.0,0.0,8.0
 Anul 1999, Caras-Severin,262.0,1869.0,1302.0,13.0,6.0,394.0,179.0,11.0,11.9,559,4526.0,8.0,8.0
 Anul 2000, Caras-Severin,432.0,1883.0,1294.0,13.0,6.0,329.0,133.0,8.7,10.8,548,4366.0,4.0,8.0
 Anul 2001, Caras-Severin,153.0,1722.0,1277.0,12.0,8.0,404.0,184.0,11.0,12.3,545,4345.0,0.0,8.0
 Anul 2002, Caras-Severin,195.0,1730.0,1347.0,6.0,5.0,335.0,187.0,10.0,9.5,541,4050.0,0.0,8.0
 Anul 2003, Caras-Severin,207.0,1745.0,1324.0,7.0,3.0,331.0,163.0,10.4,9.0,424,4016.0,0.0,8.0
 Anul 2004, Caras-Severin,240.0,1902.0,1357.0,4.0,7.0,378.0,213.0,9.9,8.0,423,3942.0,0.0,8.0
 Anul 2005, Caras-Severin,229.0,1854.0,1230.0,8.0,10.0,380.0,190.0,8.5,7.1,186,3975.0,0.0,8.0
 Anul 2006, Caras-Severin,348.0,1904.0,1224.0,9.0,10.0,394.0,196.0,6.8,5.9,178,3936.0,0.0,8.0
 Anul 2007, Caras-Severin,218.0,1696.0,1132.0,5.0,8.0,364.0,185.0,7.2,6.4,146,4089.0,0.0,8.0
 Anul 2008, Caras-Severin,204.0,1742.0,1163.0,10.0,11.0,467.0,194.0,6.0,6.0,146,3965.0,0.0,8.0
 Anul 2009, Caras-Severin,242.0,1669.0,1211.0,7.0,3.0,521.0,200.0,10.6,9.7,143,3933.0,0.0,8.0
 Anul 2010, Caras-Severin,162.0,1667.0,1032.0,12.0,5.0,446.0,215.0,9.3,8.7,138,3583.0,1.0,9.0
 Anul 2011, Caras-Severin,332.0,1449.0,995.0,7.0,4.0,616.0,184.0,5.6,5.7,129,3750.0,0.0,6.0
 Anul 2012, Caras-Severin,319.0,1487.0,1016.0,6.0,6.0,418.0,159.0,5.8,5.2,127,3790.0,0.0,6.0
 Anul 2013, Caras-Severin,381.0,1488.0,1087.0,8.0,7.0,403.0,176.0,6.1,5.2,124,3778.0,0.0,6.0
 Anul 2014, Caras-Severin,293.0,1399.0,1008.0,7.0,2.0,376.0,177.0,4.7,4.2,123,3616.0,0.0,6.0
 Anul 2015, Caras-Severin,359.0,1383.0,985.0,5.0,5.0,409.0,195.0,4.4,3.9,123,3445.0,0.0,6.0
 Anul 2016, Caras-Severin,508.0,1466.0,1077.0,7.0,4.0,407.0,191.0,2.3,2.1,122,3390.0,1.0,6.0
 Anul 2017, Caras-Severin,517.0,1466.0,998.0,6.0,7.0,356.0,188.0,3.8,3.5,123,3357.0,0.0,6.0
 Anul 2018, Caras-Severin,700.0,1502.0,1000.0,3.0,2.0,366.0,141.0,3.3,3.4,123,3296.0,0.0,6.0
 Anul 2019, Caras-Severin,633.0,1448.0,961.0,7.0,9.0,312.0,156.0,3.1,3.2,122,3297.0,1.0,6.0
 Anul 2020, Caras-Severin,485.0,1289.0,927.0,7.0,0.0,228.0,62.0,3.2,3.7,120,3218.0,0.0,6.0
 Anul 2021, Caras-Severin,727.0,1221.0,876.0,3.0,7.0,234.0,154.0,2.4,3.0,120,3141.0,0.0,6.0
 Anul 1992, Calarasi,34.0,1460.0,2328.0,13.0,20.0,196.0,146.0,5.7,8.9,383,3216.0,2.0,7.0
 Anul 1993, Calarasi,22.0,1506.0,2373.0,7.0,12.0,184.0,147.0,6.8,9.5,378,3193.0,3.0,7.0
 Anul 1994, Calarasi,37.0,1448.0,2346.0,20.0,20.0,251.0,208.0,6.3,7.8,378,3308.0,5.0,7.0
 Anul 1995, Calarasi,74.0,1450.0,2267.0,17.0,19.0,257.0,213.0,8.4,9.3,381,3422.0,7.0,7.0
 Anul 1996, Calarasi,87.0,1239.0,2142.0,15.0,19.0,281.0,180.0,4.8,4.8,387,3524.0,0.0,7.0
 Anul 1997, Calarasi,82.0,1369.0,2353.0,10.0,22.0,368.0,276.0,8.5,6.6,385,3514.0,6.0,7.0
 Anul 1998, Calarasi,64.0,1405.0,2328.0,15.0,17.0,374.0,276.0,12.8,8.0,377,3532.0,4.0,7.0
 Anul 1999, Calarasi,39.0,1371.0,2338.0,14.0,22.0,286.0,192.0,16.0,9.0,359,3394.0,6.0,7.0
 Anul 2000, Calarasi,81.0,1382.0,2344.0,15.0,15.0,231.0,173.0,15.3,8.1,355,3345.0,1.0,7.0
 Anul 2001, Calarasi,47.0,1300.0,2174.0,10.0,22.0,261.0,165.0,14.0,5.7,355,3377.0,1.0,7.0
 Anul 2002, Calarasi,17.0,1264.0,2163.0,16.0,23.0,298.0,190.0,14.4,6.5,355,3230.0,1.0,7.0
 Anul 2003, Calarasi,46.0,1286.0,2218.0,14.0,15.0,341.0,205.0,9.8,5.9,351,3109.0,1.0,6.0
 Anul 2004, Calarasi,23.0,1309.0,2085.0,14.0,14.0,414.0,219.0,11.3,6.3,113,3131.0,2.0,6.0
 Anul 2005, Calarasi,30.0,1416.0,2081.0,13.0,17.0,504.0,211.0,10.9,6.9,137,3117.0,1.0,6.0
 Anul 2006, Calarasi,35.0,1465.0,2146.0,10.0,16.0,469.0,221.0,8.5,5.3,134,3118.0,2.0,6.0
 Anul 2007, Calarasi,33.0,1382.0,2050.0,9.0,17.0,553.0,298.0,5.3,4.0,132,3056.0,4.0,6.0
 Anul 2008, Calarasi,35.0,1391.0,2156.0,8.0,13.0,379.0,312.0,6.0,4.3,133,3115.0,1.0,6.0
 Anul 2009, Calarasi,38.0,1411.0,2165.0,9.0,6.0,340.0,252.0,11.8,6.7,133,2994.0,0.0,6.0
 Anul 2010, Calarasi,40.0,1351.0,1954.0,6.0,15.0,343.0,254.0,10.6,6.8,111,2987.0,1.0,6.0
 Anul 2011, Calarasi,115.0,1136.0,1886.0,7.0,11.0,313.0,266.0,7.5,5.2,99,2946.0,0.0,5.0
 Anul 2012, Calarasi,107.0,1112.0,1931.0,6.0,12.0,274.0,229.0,8.7,5.8,95,2822.0,0.0,5.0
 Anul 2013, Calarasi,152.0,1226.0,1857.0,7.0,16.0,229.0,190.0,10.0,6.4,99,2866.0,0.0,5.0
 Anul 2014, Calarasi,132.0,1118.0,1710.0,8.0,7.0,237.0,177.0,10.1,6.4,100,2917.0,0.0,5.0
 Anul 2015, Calarasi,167.0,1178.0,1785.0,6.0,13.0,238.0,249.0,8.2,6.3,100,2716.0,0.0,5.0
 Anul 2016, Calarasi,199.0,1212.0,1794.0,2.0,6.0,214.0,205.0,8.7,7.0,99,2724.0,0.0,5.0
 Anul 2017, Calarasi,239.0,1086.0,1796.0,7.0,11.0,215.0,209.0,5.3,4.5,96,2670.0,0.0,5.0
 Anul 2018, Calarasi,234.0,1104.0,1771.0,7.0,8.0,196.0,222.0,4.4,3.9,96,2671.0,0.0,5.0
 Anul 2019, Calarasi,300.0,1079.0,1787.0,5.0,2.0,200.0,209.0,3.6,3.5,95,2654.0,1.0,6.0
 Anul 2020, Calarasi,215.0,1032.0,1762.0,0.0,10.0,132.0,208.0,4.3,4.4,96,2609.0,0.0,6.0
 Anul 2021, Calarasi,277.0,1022.0,1757.0,5.0,4.0,130.0,134.0,3.7,4.1,97,2625.0,0.0,6.0
 Anul 1992, Cluj,1277.0,4688.0,2531.0,29.0,13.0,876.0,127.0,5.8,10.3,892,11302.0,6.0,17.0
 Anul 1993, Cluj,618.0,4242.0,2405.0,29.0,12.0,895.0,137.0,5.8,9.4,901,11457.0,9.0,17.0
 Anul 1994, Cluj,531.0,4412.0,2520.0,21.0,10.0,711.0,125.0,7.2,12.2,886,11768.0,14.0,17.0
 Anul 1995, Cluj,986.0,4004.0,2297.0,17.0,9.0,803.0,116.0,6.7,12.4,898,12126.0,12.0,16.0
 Anul 1996, Cluj,823.0,3949.0,2405.0,24.0,10.0,720.0,86.0,6.3,10.1,916,12358.0,9.0,16.0
 Anul 1997, Cluj,693.0,3919.0,2269.0,25.0,9.0,636.0,138.0,7.6,10.8,917,12475.0,4.0,16.0
 Anul 1998, Cluj,602.0,3933.0,2284.0,20.0,17.0,783.0,181.0,8.8,12.0,931,12707.0,2.0,17.0
 Anul 1999, Cluj,593.0,3853.0,2213.0,14.0,10.0,720.0,149.0,12.0,12.2,867,12672.0,28.0,17.0
 Anul 2000, Cluj,647.0,3883.0,2333.0,16.0,12.0,692.0,147.0,11.3,11.3,624,12757.0,8.0,20.0
 Anul 2001, Cluj,535.0,3763.0,2173.0,12.0,6.0,609.0,130.0,9.9,8.9,615,12798.0,3.0,21.0
 Anul 2002, Cluj,538.0,3500.0,1960.0,18.0,4.0,840.0,182.0,10.1,9.9,599,12320.0,4.0,21.0
 Anul 2003, Cluj,661.0,3568.0,2100.0,14.0,17.0,843.0,182.0,7.4,8.0,493,11970.0,5.0,22.0
 Anul 2004, Cluj,665.0,3923.0,2053.0,18.0,5.0,1083.0,184.0,5.2,5.0,395,11892.0,2.0,22.0
 Anul 2005, Cluj,479.0,4334.0,2086.0,18.0,6.0,852.0,184.0,4.4,4.5,279,11725.0,4.0,23.0
 Anul 2006, Cluj,557.0,4462.0,2139.0,17.0,8.0,781.0,198.0,3.2,3.7,268,11494.0,1.0,22.0
 Anul 2007, Cluj,325.0,4230.0,2047.0,13.0,5.0,861.0,192.0,2.7,3.4,263,11552.0,5.0,24.0
 Anul 2008, Cluj,391.0,4436.0,2115.0,17.0,5.0,1055.0,236.0,2.6,3.3,259,11737.0,5.0,26.0
 Anul 2009, Cluj,447.0,4662.0,2277.0,9.0,6.0,918.0,215.0,6.1,6.5,263,11788.0,5.0,26.0
 Anul 2010, Cluj,345.0,4609.0,2230.0,8.0,6.0,829.0,212.0,5.0,4.8,252,11096.0,3.0,27.0
 Anul 2011, Cluj,506.0,4242.0,2062.0,8.0,1.0,870.0,234.0,3.6,4.0,254,10896.0,1.0,32.0
 Anul 2012, Cluj,503.0,4130.0,2319.0,20.0,7.0,800.0,217.0,3.7,4.1,257,11281.0,2.0,32.0
 Anul 2013, Cluj,501.0,4480.0,2337.0,7.0,5.0,533.0,168.0,3.5,3.6,258,11298.0,0.0,34.0
 Anul 2014, Cluj,351.0,4352.0,2368.0,5.0,5.0,539.0,157.0,2.7,2.9,258,11295.0,0.0,38.0
 Anul 2015, Cluj,529.0,4583.0,2475.0,5.0,9.0,543.0,165.0,2.1,2.5,263,11068.0,1.0,40.0
 Anul 2016, Cluj,724.0,4693.0,2582.0,10.0,2.0,564.0,204.0,2.0,2.5,265,11097.0,1.0,41.0
 Anul 2017, Cluj,783.0,4767.0,2757.0,9.0,6.0,606.0,244.0,1.8,2.3,274,11256.0,1.0,42.0
 Anul 2018, Cluj,838.0,4705.0,2726.0,5.0,3.0,562.0,216.0,1.1,1.5,271,11410.0,0.0,35.0
 Anul 2019, Cluj,834.0,4840.0,2729.0,7.0,4.0,682.0,250.0,1.0,1.5,272,11544.0,1.0,36.0
 Anul 2020, Cluj,536.0,4340.0,2674.0,9.0,1.0,483.0,189.0,1.3,2.1,271,11667.0,0.0,37.0
 Anul 2021, Cluj,931.0,4270.0,2757.0,7.0,3.0,453.0,201.0,1.1,1.5,277,11940.0,0.0,36.0
 Anul 1992, Constanta,460.0,4909.0,2644.0,13.0,5.0,766.0,131.0,3.5,10.2,609,8345.0,6.0,11.0
 Anul 1993, Constanta,303.0,4831.0,2562.0,21.0,6.0,832.0,125.0,5.0,16.2,614,9002.0,11.0,10.0
 Anul 1994, Constanta,383.0,4679.0,2586.0,9.0,10.0,715.0,155.0,5.5,13.7,611,9131.0,26.0,9.0
 Anul 1995, Constanta,462.0,4526.0,2544.0,16.0,9.0,583.0,110.0,4.8,13.8,616,9434.0,22.0,9.0
 Anul 1996, Constanta,415.0,4567.0,2504.0,11.0,9.0,692.0,149.0,3.0,9.1,621,9607.0,23.0,9.0
 Anul 1997, Constanta,479.0,4638.0,2740.0,15.0,13.0,748.0,157.0,4.0,8.9,605,9477.0,15.0,9.0
 Anul 1998, Constanta,369.0,4677.0,2817.0,25.0,12.0,710.0,214.0,6.4,11.1,601,9657.0,16.0,9.0
 Anul 1999, Constanta,369.0,4758.0,2890.0,28.0,14.0,751.0,129.0,9.1,13.7,564,9455.0,20.0,9.0
 Anul 2000, Constanta,516.0,4810.0,2858.0,20.0,7.0,1048.0,211.0,7.8,12.5,555,9359.0,7.0,11.0
 Anul 2001, Constanta,257.0,4633.0,2813.0,28.0,23.0,1187.0,222.0,6.8,11.6,556,9504.0,6.0,11.0
 Anul 2002, Constanta,210.0,4316.0,2666.0,26.0,14.0,996.0,178.0,7.9,9.6,562,9119.0,6.0,13.0
 Anul 2003, Constanta,204.0,4458.0,2745.0,36.0,16.0,850.0,189.0,6.2,8.0,563,9140.0,1.0,13.0
 Anul 2004, Constanta,276.0,4838.0,2587.0,33.0,18.0,796.0,227.0,4.9,7.3,386,9128.0,5.0,13.0
