Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Regiunea NORD-EST, Anul 2022, Numar persoane, 13342
Total, Regiunea SUD-EST, Anul 1991, Numar persoane, 1776
Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 873
Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 652
Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 778
Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 1186
Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 1113
Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 1202
Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 1005
Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 857
Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 1213
Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 813
Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 632
Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 826
Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 1039
Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 1160
Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 1360
Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 863
Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 881
Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 1038
Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 830
Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 1551
Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 1620
Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 1894
Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 1481
Total, Regiunea SUD-EST, Anul 2015, Numar persoane, 1823
Total, Regiunea SUD-EST, Anul 2016, Numar persoane, 2946
Total, Regiunea SUD-EST, Anul 2017, Numar persoane, 3034
Total, Regiunea SUD-EST, Anul 2018, Numar persoane, 3639
Total, Regiunea SUD-EST, Anul 2019, Numar persoane, 3564
Total, Regiunea SUD-EST, Anul 2020, Numar persoane, 2713
Total, Regiunea SUD-EST, Anul 2021, Numar persoane, 4467
Total, Regiunea SUD-EST, Anul 2022, Numar persoane, 6280
